gene,transcript,score,pvalue,qvalue,info
CDH1,ENST00000261769,0.0210,0.8248,0.9915,oncogene
MAP3K1,ENST00000399503,0.0460,0.4523,0.9116,oncogene
KMT2C,ENST00000262189,0.0110,0.9554,0.9915,oncogene
PIK3CA,ENST00000263967,0.9190,0.0000,0.0000,oncogene
PTEN,ENST00000371953,0.0710,0.2297,0.8238,oncogene
TP53,ENST00000269305,0.0900,0.1362,0.7844,oncogene
NCOR1,ENST00000268712,0.0520,0.3848,0.8906,oncogene
ARID1A,ENST00000324856,0.0180,0.8802,0.9915,oncogene
AKT1,ENST00000554581,0.8800,0.0000,0.0000,oncogene
ERBB2,ENST00000269571,0.8680,0.0000,0.0000,oncogene
RUNX1,ENST00000300305,0.0750,0.2058,0.8136,oncogene
NF1,ENST00000358273,0.0310,0.6674,0.9678,oncogene
BRCA1,ENST00000471181,0.0470,0.4402,0.9089,oncogene
KRAS,ENST00000256078,0.8370,0.0000,0.0000,oncogene
RB1,ENST00000267163,0.0640,0.2775,0.8466,oncogene
MLLT4,ENST00000392108,0.0600,0.3094,0.8552,oncogene
CUL7,ENST00000535468,0.0570,0.3359,0.8729,oncogene
MAP2K4,ENST00000353533,0.0360,0.5891,0.9622,oncogene
USP9X,ENST00000324545,0.0330,0.6356,0.9622,oncogene
EP300,ENST00000263253,0.0400,0.5313,0.9386,oncogene
SF3B1,ENST00000335508,0.6710,0.0000,0.0000,oncogene
CHD1L,ENST00000369258,0.0100,0.9554,0.9915,oncogene
MGAT5B,ENST00000428789,0.0200,0.8387,0.9915,oncogene
GATA3,ENST00000379328,0.1880,0.0080,0.7642,oncogene
DAB1,ENST00000371236,0.0750,0.2058,0.8136,oncogene
SMARCA1,ENST00000371122,0.0790,0.1845,0.8070,oncogene
TRAF3,ENST00000560371,0.0730,0.2174,0.8182,oncogene
JAK1,ENST00000342505,0.0270,0.7324,0.9779,oncogene
GLDC,ENST00000321612,0.0190,0.8531,0.9915,oncogene
NIPBL,ENST00000282516,0.0260,0.7484,0.9803,oncogene
FANCD2,ENST00000287647,0.0480,0.4281,0.9036,oncogene
ATM,ENST00000278616,0.0770,0.1944,0.8073,oncogene
ZMYM3,ENST00000353904,0.0320,0.6512,0.9623,oncogene
BRCA2,ENST00000544455,0.0430,0.4905,0.9226,oncogene
KMT2A,ENST00000534358,0.0610,0.3012,0.8537,oncogene
SMURF2,ENST00000262435,0.0990,0.1062,0.7724,oncogene
SPEN,ENST00000375759,0.0400,0.5313,0.9386,oncogene
TBL1XR1,ENST00000430069,0.0380,0.5601,0.9459,oncogene
NUP205,ENST00000285968,0.0400,0.5313,0.9386,oncogene
MYB,ENST00000341911,0.0440,0.4778,0.9226,oncogene
MED23,ENST00000368068,0.0870,0.1482,0.7928,oncogene
BAP1,ENST00000460680,0.0480,0.4281,0.9036,oncogene
SMG1,ENST00000446231,0.0390,0.5601,0.9459,oncogene
CASP8,ENST00000358485,0.0810,0.1746,0.8055,oncogene
UBAP2,ENST00000379238,0.0510,0.3954,0.8950,oncogene
CTCF,ENST00000264010,0.0360,0.6045,0.9622,oncogene
JUN,ENST00000371222,0.1010,0.1006,0.7686,oncogene
SIK3,ENST00000292055,0.0500,0.4064,0.9006,oncogene
NCOA6,ENST00000374796,0.0790,0.1845,0.8070,oncogene
NFKB2,ENST00000369966,0.0370,0.5891,0.9622,oncogene
TRAPPC10,ENST00000291574,0.0480,0.4281,0.9036,oncogene
PLK2,ENST00000274289,0.0630,0.2853,0.8466,oncogene
KDM6A,ENST00000377967,0.0920,0.1289,0.7832,oncogene
RAPGEF2,ENST00000264431,0.0710,0.2297,0.8238,oncogene
DHX30,ENST00000445061,0.0430,0.4905,0.9226,oncogene
IGSF1,ENST00000370903,0.0350,0.6201,0.9622,oncogene
TUBGCP2,ENST00000543663,0.6070,0.0000,0.0000,oncogene
GPS2,ENST00000380728,0.0500,0.4064,0.9006,oncogene
CDKN1B,ENST00000228872,0.0520,0.3848,0.8906,oncogene
RB1CC1,ENST00000025008,0.0980,0.1126,0.7766,oncogene
DCTN1,ENST00000361874,0.0900,0.1362,0.7844,oncogene
ANKRD12,ENST00000262126,0.0430,0.4905,0.9226,oncogene
ARHGAP29,ENST00000260526,0.0360,0.6045,0.9622,oncogene
JMJD1C,ENST00000399262,0.0270,0.7324,0.9779,oncogene
MEN1,ENST00000337652,0.1640,0.0165,0.7642,oncogene
MAP3K4,ENST00000392142,0.0780,0.1896,0.8070,oncogene
REV1,ENST00000258428,0.0740,0.2115,0.8182,oncogene
GIGYF2,ENST00000409451,0.0410,0.5174,0.9316,oncogene
RHOBTB3,ENST00000379982,0.0660,0.2628,0.8440,oncogene
COIL,ENST00000240316,0.1420,0.0315,0.7642,oncogene
STAT4,ENST00000392320,0.0330,0.6512,0.9623,oncogene
LZTR1,ENST00000215739,0.0880,0.1482,0.7928,oncogene
LUC7L2,ENST00000541515,0.0480,0.4281,0.9036,oncogene
DAZAP1,ENST00000233078,0.0630,0.2853,0.8466,oncogene
CHD4,ENST00000357008,0.3910,0.0000,0.0000,oncogene
FOXA1,ENST00000250448,0.4380,0.0000,0.0000,oncogene
NRIP1,ENST00000400202,0.0440,0.4905,0.9226,oncogene
SMAD4,ENST00000342988,0.0500,0.4064,0.9006,oncogene
TRAF5,ENST00000261464,0.0710,0.2297,0.8238,oncogene
ATF7IP,ENST00000261168,0.0600,0.3094,0.8552,oncogene
TNK2,ENST00000381916,0.0760,0.2000,0.8101,oncogene
NAMPT,ENST00000222553,0.0460,0.4523,0.9116,oncogene
PAXIP1,ENST00000404141,0.1950,0.0067,0.7642,oncogene
ZFP36L1,ENST00000439696,0.0670,0.2557,0.8415,oncogene
ANKHD1,ENST00000297183,0.0470,0.4402,0.9089,oncogene
OPA1,ENST00000361908,0.0810,0.1746,0.8055,oncogene
DBN1,ENST00000292385,0.0690,0.2423,0.8395,oncogene
SEC23B,ENST00000336714,0.0720,0.2234,0.8238,oncogene
CCAR1,ENST00000265872,0.0550,0.3549,0.8823,oncogene
ESR1,ENST00000440973,0.1180,0.0642,0.7684,oncogene
FOXP1,ENST00000491238,0.0640,0.2775,0.8466,oncogene
