cancer_type_abbr,gene1,gene2,all.high_others_diff,all.high_others_pval.log.rank.5y,all.high_others_log2.HR.5y,two_factors_pval.log.rank.5y,all.high_all.low_log2.HR.5y,high.low_all.low_log2.HR.5y,low.high_all.low_log2.HR.5y
STAD,AADAC,CST4,1.58,6.14E-07,1.27,0.000598,1.461,0.756,0.706
STAD,AADAC,ITIH2,1.51,2.36E-06,1.16,0.00631,1.053,0.61,0.443
STAD,ABCA6,LCE2B,1.51,0.00582,1.4,0.00839,1.507,0.497,1.01
STAD,ABCA9,GH2,1.5,8.13E-06,1.35,9.66E-05,1.537,0.589,0.949
STAD,ABCB4,LCE2B,1.9,0.000688,1.79,0.00197,1.763,0.647,1.116
STAD,ABCB4,LCE2D,1.67,0.00086,1.52,0.00198,1.582,0.647,0.934
STAD,ABCG8,KCNN2,1.5,1.25E-05,1.11,0.00693,1.145,0.586,0.56
STAD,ACP7,GAMT,1.54,1.23E-06,1.18,0.00884,1.009,0.432,0.577
STAD,ACSM5,KRTAP2-3,1.56,1.40E-05,1.17,0.00472,1.208,0.569,0.639
STAD,ACSM5,LCE2B,1.51,0.0102,1.39,0.00981,1.516,0.473,1.043
STAD,ACSS3,LCE2B,1.57,0.011,1.48,0.00443,1.668,0.566,1.102
STAD,ACVR1,CRYGC,1.51,0.000152,1.1,0.0146,1.062,0.524,0.538
STAD,ACVR1,LCE2B,1.7,0.0255,1.56,0.00548,1.746,0.546,1.2
STAD,ACVR1,LCE2D,1.64,0.00852,1.42,0.00538,1.55,0.548,1.003
STAD,ADAM21,CGB5,1.58,5.39E-08,1.32,0.000302,1.414,0.542,0.872
STAD,ADAM21,KCTD1,1.52,8.49E-06,1.1,0.01,1.128,0.556,0.573
STAD,ADAM21,LCE2B,1.93,0.000988,1.74,0.00818,1.618,0.499,1.119
STAD,ADAM21,LCE2D,1.53,0.00288,1.31,0.0103,1.357,0.471,0.886
STAD,ADAM23,LCE2D,1.56,0.000151,1.48,0.00105,1.491,0.711,0.78
STAD,ADAM23,RND1,1.63,5.86E-08,1.37,0.000138,1.608,0.884,0.724
STAD,ADAMTS1,LCE2B,2.47,0.000523,2.1,0.00506,1.782,0.557,1.225
STAD,ADAMTS15,IL1A,1.55,2.19E-06,1.21,0.00149,1.349,0.636,0.713
STAD,ADAMTS15,LCE2D,1.55,0.00759,1.36,0.00448,1.537,0.567,0.971
STAD,ADCYAP1R1,GABRA3,1.54,3.70E-07,1.25,0.00137,1.27,0.593,0.677
STAD,ADCYAP1R1,LCE2B,1.63,0.00217,1.54,0.00464,1.592,0.564,1.028
STAD,ADCYAP1R1,PRR9,1.64,6.59E-07,1.34,0.000778,1.394,0.658,0.736
STAD,ADD2,LCE2B,1.61,0.00588,1.48,0.00862,1.556,0.491,1.066
STAD,ADH1B,ANGPTL4,1.57,2.75E-07,1.26,0.00154,1.286,0.586,0.7
STAD,ADH1B,PRR9,1.57,1.43E-05,1.26,0.000552,1.508,0.698,0.809
STAD,ADM,APCS,1.71,3.84E-05,1.48,0.00149,1.445,0.531,0.914
STAD,ADM,GH2,1.66,2.25E-06,1.46,0.000115,1.561,0.571,0.991
STAD,ADM,GRIN2A,1.53,9.82E-06,1.18,0.000673,1.535,0.722,0.813
STAD,ADM,LCE2B,1.91,0.00104,1.74,0.00671,1.618,0.518,1.1
STAD,ADM,LCE2D,1.52,0.00267,1.32,0.00859,1.355,0.489,0.866
STAD,ADRA1B,C8orf22,1.57,4.74E-06,1.22,0.00378,1.183,0.622,0.561
STAD,ADRA1B,KPNA7,1.52,4.61E-06,1.19,0.0014,1.349,0.685,0.664
STAD,ADRA1B,LCE2B,1.96,0.000103,1.82,0.00363,1.634,0.589,1.046
STAD,ADRA1B,LCE2D,1.64,0.000458,1.47,0.00383,1.451,0.583,0.868
STAD,ADRA1D,LCE2D,1.63,0.000672,1.43,0.00694,1.394,0.519,0.875
STAD,AK5,CRCT1,1.52,9.32E-06,1.16,0.00143,1.407,0.736,0.671
STAD,AK5,LCE2B,1.57,0.00319,1.49,0.0044,1.572,0.567,1.006
STAD,AK5,LCE2D,1.76,0.000508,1.57,0.00292,1.546,0.608,0.938
STAD,AKAP12,LCE2D,1.73,0.000524,1.64,0.000229,1.852,0.833,1.019
STAD,AKAP12,PRR9,1.52,7.35E-07,1.33,7.90E-05,1.58,0.847,0.733
STAD,AKAP4,EEF1A2,1.65,1.03E-06,1.23,0.00405,1.307,0.668,0.639
STAD,AKAP4,LCE2B,1.57,0.00236,1.46,0.00945,1.466,0.484,0.982
STAD,AKAP4,LCE2D,1.52,0.00181,1.32,0.00869,1.337,0.491,0.846
STAD,AKAP4,LIMD2,1.51,1.91E-05,1.11,0.00342,1.324,0.671,0.653
STAD,ALG10B,LCE2B,1.51,0.00397,1.39,0.0117,1.428,0.457,0.971
STAD,ANGPT2,APCS,1.62,2.62E-05,1.48,0.000314,1.597,0.69,0.906
STAD,ANGPT2,CACNA1I,1.56,3.74E-07,1.27,0.000703,1.392,0.745,0.647
STAD,ANGPT2,LCE2B,1.58,0.00401,1.54,0.00147,1.744,0.676,1.068
STAD,ANGPT2,LCE2D,1.5,0.00072,1.38,0.00223,1.449,0.643,0.807
STAD,ANGPT2,ST8SIA6,1.59,1.89E-07,1.34,5.73E-05,1.766,0.892,0.874
STAD,ANGPT2,VSTM2L,1.54,2.41E-07,1.29,0.000201,1.538,0.78,0.759
STAD,ANGPTL4,BBOX1,1.63,2.87E-07,1.28,0.00154,1.338,0.749,0.589
STAD,ANGPTL4,GH2,1.52,3.09E-06,1.41,3.23E-05,1.674,0.698,0.976
STAD,ANGPTL4,LCE2D,1.57,0.000988,1.44,0.00178,1.558,0.661,0.898
STAD,ANGPTL4,SHOX2,1.62,1.65E-08,1.35,0.00134,1.235,0.634,0.601
STAD,ANKDD1B,LBP,1.53,7.65E-06,1.12,0.0127,1.036,0.509,0.527
STAD,ANKDD1B,LCE2B,2,0.000699,1.79,0.00783,1.6,0.499,1.101
STAD,ANKRD33,C6,1.56,3.11E-06,1.19,0.00227,1.33,0.642,0.688
STAD,ANKRD33,C8orf22,1.57,5.97E-06,1.18,0.0115,1.019,0.502,0.517
STAD,ANKRD33,LCE2B,1.77,0.000632,1.63,0.00867,1.503,0.491,1.011
STAD,ANKRD33,LCE2D,1.55,0.000906,1.35,0.00983,1.304,0.478,0.826
STAD,ANKRD45,C1QTNF4,1.55,1.97E-06,1.16,0.011,1.017,0.463,0.554
STAD,ANKRD45,FBXO27,1.52,6.31E-06,1.11,0.0195,0.937,0.447,0.489
STAD,ANKRD45,FXYD2,1.62,1.14E-06,1.2,0.0103,1.082,0.521,0.561
STAD,ANKRD45,LRRN1,1.55,2.31E-06,1.16,0.0104,1.024,0.465,0.559
STAD,ANKRD45,PCDHA11,1.52,1.76E-07,1.28,0.000313,1.343,0.476,0.867
STAD,ANO4,LCE2B,1.52,0.00424,1.45,0.0047,1.548,0.559,0.989
STAD,APBB1IP,CRYGC,1.56,9.87E-05,1.15,0.0104,1.128,0.565,0.564
STAD,APBB1IP,LCE2B,3.75,2.50E-05,2.71,0.00319,1.946,0.619,1.327
STAD,APBB1IP,LCE2D,1.74,0.00153,1.51,0.00545,1.505,0.544,0.961
STAD,APCS,BBOX1,1.5,0.000318,1.28,0.00292,1.307,0.857,0.45
STAD,APCS,BRINP3,1.81,4.13E-06,1.55,0.00235,1.357,0.879,0.477
STAD,APCS,C21orf33,1.59,7.07E-05,1.4,0.00101,1.472,0.893,0.578
STAD,APCS,C5orf58,1.71,2.81E-05,1.47,0.00184,1.42,0.91,0.51
STAD,APCS,C8orf22,1.72,8.85E-06,1.5,0.00321,1.247,0.799,0.448
STAD,APCS,CALY,1.57,3.90E-05,1.36,0.00271,1.297,0.834,0.463
STAD,APCS,CCDC152,1.57,8.85E-05,1.35,0.00221,1.357,0.87,0.487
STAD,APCS,CDH19,1.53,0.000126,1.3,0.00329,1.278,0.842,0.436
STAD,APCS,CLDN11,1.59,8.57E-05,1.36,0.00283,1.322,0.866,0.456
STAD,APCS,CLDN6,1.81,1.56E-06,1.59,0.00131,1.413,0.863,0.55
STAD,APCS,CLDN9,1.97,1.72E-07,1.75,0.000431,1.565,0.905,0.66
STAD,APCS,CRCT1,1.88,1.44E-06,1.62,0.00171,1.409,0.892,0.516
STAD,APCS,CST5,1.67,7.15E-06,1.52,0.000548,1.496,0.859,0.636
STAD,APCS,CST6,1.94,5.13E-07,1.69,0.00114,1.457,0.894,0.563
STAD,APCS,CYP19A1,2.14,1.53E-07,1.8,0.00133,1.487,0.938,0.549
STAD,APCS,CYP26A1,1.83,6.78E-06,1.62,0.000508,1.599,0.952,0.647
STAD,APCS,DCLK3,1.79,1.42E-05,1.54,0.00158,1.444,0.916,0.528
STAD,APCS,FAM107A,1.54,0.000137,1.38,0.000668,1.518,0.901,0.617
STAD,APCS,FAM25A,1.64,0.000115,1.44,0.00104,1.467,0.897,0.57
STAD,APCS,FAM9A,1.71,3.83E-06,1.48,0.00517,1.156,0.771,0.385
STAD,APCS,GABRA3,1.52,2.80E-05,1.39,0.000692,1.439,0.818,0.621
STAD,APCS,GABRQ,1.53,3.21E-05,1.35,0.00171,1.346,0.821,0.525
STAD,APCS,GPIHBP1,1.55,8.31E-05,1.36,0.00149,1.391,0.858,0.533
STAD,APCS,GPRC6A,1.74,1.40E-06,1.59,0.000483,1.468,0.823,0.644
STAD,APCS,GPX3,1.59,0.000223,1.37,0.00159,1.445,0.919,0.526
