GENE,ensg,iGC_gain_p_value,iGC_gain_fdr,iGC_loss_p_value,iGC_loss_fdr,iGC_gain_sample_prop,iGC_normal_sample_prop,iGC_loss_sample_prop,iGC_gain_log2FC,iGC_loss_log2FC,diggit_spearman.pval,spearman_cor,spearman_pv
GRB7,ENSG00000141738,3.51E-07,4.60E-06,      NA,      NA,0.1845,0.81283,0.00267,3.6555,-1.6506,1.60E-30,0.534,5.35E-29
ARPC1A,ENSG00000241685,7.48E-09,1.55E-07,      NA,      NA,0.1818,0.81283,0.00535,1.0422,-0.7168,9.56E-39,0.589,2.82E-36
POP4,ENSG00000105171,1.89E-06,1.98E-05,2.49E-09,2.90E-08,0.1578,0.8262,0.01604,2.2924,-0.6983,4.96E-40,0.596,2.14E-37
ERBB2,ENSG00000141736,5.63E-07,6.88E-06,      NA,      NA,0.1925,0.80481,0.00267,3.8774,1.0646,1.03E-33,0.557,7.57E-32
TAF6,ENSG00000106290,3.44E-06,3.33E-05,      NA,      NA,0.1818,0.81551,0.00267,1.0346,-0.2492,1.27E-45,0.627,3.29E-42
MIEN1,ENSG00000141741,4.70E-06,4.38E-05,      NA,      NA,0.1872,0.81283,0,4.0093,      NA,3.01E-37,0.58,5.76E-35
CCNE1,ENSG00000105173,1.04E-06,1.17E-05,9.61E-02,1.32E-01,0.1791,0.79679,0.02406,3.6168,0.5377,6.64E-17,0.408,1.82E-16
BAIAP2L1,ENSG00000006453,2.21E-06,2.28E-05,      NA,      NA,0.1845,0.81016,0.00535,1.3692,-1.1162,2.29E-31,0.54,9.38E-30
FDFT1,ENSG00000079459,5.97E-07,7.25E-06,6.69E-09,6.89E-08,0.1845,0.73529,0.08021,1.4968,-0.4214,7.77E-37,0.577,1.32E-34
SMURF1,ENSG00000198742,2.28E-07,3.18E-06,      NA,      NA,0.1845,0.81016,0.00535,1.166,-1.0311,9.03E-43,0.612,9.13E-40
NEIL2,ENSG00000154328,3.31E-06,3.23E-05,5.56E-10,7.73E-09,0.1818,0.74064,0.07754,1.8043,-0.5638,1.85E-44,0.621,3.24E-41
ANKIB1,ENSG00000001629,1.43E-04,8.19E-04,      NA,      NA,0.2059,0.7861,0.00802,1.4706,-0.4444,4.67E-36,0.572,6.41E-34
