cancer_type_abbr,mirbase_mat_id,gene_symbol,ensg,validated,number_of_tool,pearson_cor,pearson_pv,spearman_cor,spearman_pv,kendall_cor,kendall_pv
STAD,hsa-miR-100-5p,NOP2,ENSG00000111641,1,3,-0.279321,4.29E-08,-0.3389,2.50E-11,-0.2296,3.80E-11
STAD,hsa-miR-100-5p,DDX21,ENSG00000165732,1,2,-0.276639,5.83E-08,-0.372,1.58E-13,-0.2534,2.97E-13
STAD,hsa-miR-100-5p,PLK1,ENSG00000166851,2,2,-0.318658,3.17E-10,-0.3916,3.52E-15,-0.2646,2.54E-14
STAD,hsa-miR-100-5p,RRM2,ENSG00000171848,1,0,-0.383868,1.66E-14,-0.4431,0.00E+00,-0.3028,2.77E-18
STAD,hsa-miR-100-5p,KPNA2,ENSG00000182481,1,0,-0.359608,8.48E-13,-0.4419,0.00E+00,-0.3022,3.26E-18
STAD,hsa-miR-106a-5p,CELF2,ENSG00000048740,0,7,-0.353009,2.34E-12,-0.521,0.00E+00,-0.367,4.18E-26
STAD,hsa-miR-106a-5p,NTN1,ENSG00000065320,0,8,-0.294987,6.63E-09,-0.5865,0.00E+00,-0.4201,1.12E-33
STAD,hsa-miR-106a-5p,RAB27A,ENSG00000069974,0,6,-0.213632,3.26E-05,-0.3385,2.67E-11,-0.2253,8.79E-11
STAD,hsa-miR-106a-5p,CYBRD1,ENSG00000071967,0,9,-0.406315,3.21E-16,-0.6372,0.00E+00,-0.4554,2.81E-39
STAD,hsa-miR-106a-5p,MRVI1,ENSG00000072952,0,6,-0.363227,4.81E-13,-0.6961,0.00E+00,-0.5073,2.51E-48
STAD,hsa-miR-106a-5p,PPP1R12B,ENSG00000077157,0,7,-0.267435,1.64E-07,-0.5914,0.00E+00,-0.4212,7.57E-34
STAD,hsa-miR-106a-5p,FBLN1,ENSG00000077942,0,9,-0.223924,1.30E-05,-0.4788,0.00E+00,-0.3343,6.11E-22
STAD,hsa-miR-106a-5p,TP53INP2,ENSG00000078804,0,8,-0.121977,1.86E-02,-0.3214,2.77E-10,-0.2211,1.93E-10
STAD,hsa-miR-106a-5p,TNS1,ENSG00000079308,0,7,-0.329044,7.66E-11,-0.7093,0.00E+00,-0.5149,9.66E-50
STAD,hsa-miR-106a-5p,PTGS1,ENSG00000095303,0,8,-0.290733,1.11E-08,-0.4575,0.00E+00,-0.3199,3.17E-20
STAD,hsa-miR-106a-5p,FKBP5,ENSG00000096060,0,6,-0.221131,1.68E-05,-0.3268,1.34E-10,-0.2198,2.46E-10
STAD,hsa-miR-106a-5p,TIMP3,ENSG00000100234,0,8,-0.345768,6.93E-12,-0.5156,0.00E+00,-0.3581,6.22E-25
STAD,hsa-miR-106a-5p,CBX7,ENSG00000100307,0,7,-0.382561,2.06E-14,-0.64,0.00E+00,-0.4617,2.48E-40
STAD,hsa-miR-106a-5p,CRISPLD2,ENSG00000103196,1,3,-0.388065,8.10E-15,-0.6104,0.00E+00,-0.4337,8.70E-36
STAD,hsa-miR-106a-5p,FOXF1,ENSG00000103241,0,8,-0.35737,1.20E-12,-0.5902,0.00E+00,-0.4234,3.48E-34
STAD,hsa-miR-106a-5p,RASL12,ENSG00000103710,0,6,-0.322294,1.94E-10,-0.5662,0.00E+00,-0.3983,1.89E-30
STAD,hsa-miR-106a-5p,SFRP1,ENSG00000104332,0,6,-0.299966,3.58E-09,-0.6194,0.00E+00,-0.4432,2.69E-37
STAD,hsa-miR-106a-5p,CAV1,ENSG00000105974,1,8,-0.183023,3.88E-04,-0.5164,0.00E+00,-0.3628,1.50E-25
STAD,hsa-miR-106a-5p,CXCL12,ENSG00000107562,0,6,-0.262013,2.95E-07,-0.5267,0.00E+00,-0.3648,8.13E-26
STAD,hsa-miR-106a-5p,SASH1,ENSG00000111961,0,8,-0.189365,2.39E-04,-0.4221,0.00E+00,-0.289,8.68E-17
STAD,hsa-miR-106a-5p,SMOC2,ENSG00000112562,0,9,-0.311487,8.20E-10,-0.5718,0.00E+00,-0.4087,5.62E-32
STAD,hsa-miR-106a-5p,SPARC,ENSG00000113140,0,8,-0.294486,7.05E-09,-0.332,6.64E-11,-0.2238,1.15E-10
STAD,hsa-miR-106a-5p,PDGFRB,ENSG00000113721,0,7,-0.362833,5.12E-13,-0.477,0.00E+00,-0.3247,8.85E-21
STAD,hsa-miR-106a-5p,KAT2B,ENSG00000114166,0,10,-0.368536,2.07E-13,-0.5127,0.00E+00,-0.3552,1.49E-24
STAD,hsa-miR-106a-5p,ZBTB47,ENSG00000114853,1,8,-0.402551,6.35E-16,-0.5945,0.00E+00,-0.4233,3.56E-34
STAD,hsa-miR-106a-5p,RAP1A,ENSG00000116473,0,7,-0.178175,5.55E-04,-0.3664,3.98E-13,-0.2553,1.96E-13
STAD,hsa-miR-106a-5p,NRP2,ENSG00000118257,0,7,-0.324037,1.53E-10,-0.5489,0.00E+00,-0.3923,1.37E-29
STAD,hsa-miR-106a-5p,ELL2,ENSG00000118985,0,10,-0.169466,1.03E-03,-0.371,1.87E-13,-0.254,2.60E-13
STAD,hsa-miR-106a-5p,KLF9,ENSG00000119138,0,9,-0.365567,3.32E-13,-0.6023,0.00E+00,-0.4333,9.87E-36
STAD,hsa-miR-106a-5p,PPP1R3C,ENSG00000119938,0,6,-0.265418,2.04E-07,-0.5587,0.00E+00,-0.3961,3.86E-30
STAD,hsa-miR-106a-5p,FAM117A,ENSG00000121104,0,8,-0.124574,1.62E-02,-0.3529,3.27E-12,-0.2491,7.42E-13
STAD,hsa-miR-106a-5p,CRY2,ENSG00000121671,0,9,-0.221899,1.56E-05,-0.4719,0.00E+00,-0.3296,2.27E-21
STAD,hsa-miR-106a-5p,CPXM2,ENSG00000121898,0,6,-0.319975,2.66E-10,-0.6247,0.00E+00,-0.4454,1.20E-37
STAD,hsa-miR-106a-5p,CALD1,ENSG00000122786,0,10,-0.275397,6.72E-08,-0.5838,0.00E+00,-0.4141,9.01E-33
STAD,hsa-miR-106a-5p,PTGIS,ENSG00000124212,1,5,-0.294873,6.73E-09,-0.5649,0.00E+00,-0.3965,3.47E-30
STAD,hsa-miR-106a-5p,AHNAK,ENSG00000124942,0,9,-0.392184,3.98E-15,-0.5639,0.00E+00,-0.4008,8.16E-31
STAD,hsa-miR-106a-5p,FGL2,ENSG00000127951,0,10,-0.297649,4.78E-09,-0.5283,0.00E+00,-0.3726,7.35E-27
STAD,hsa-miR-106a-5p,GNAI1,ENSG00000127955,0,6,-0.242681,2.18E-06,-0.4166,0.00E+00,-0.2875,1.26E-16
STAD,hsa-miR-106a-5p,PALLD,ENSG00000129116,0,6,-0.302282,2.68E-09,-0.6181,0.00E+00,-0.4468,7.01E-38
STAD,hsa-miR-106a-5p,CNN1,ENSG00000130176,0,6,-0.240676,2.66E-06,-0.6455,0.00E+00,-0.4658,5.05E-41
STAD,hsa-miR-106a-5p,PDLIM4,ENSG00000131435,0,7,-0.262892,2.69E-07,-0.4514,0.00E+00,-0.3159,9.44E-20
