cancer,gene,CGC,NCG6.0,mutation,CNV,methylation,miRNA
BRCA,AKT1,1,1,10,0,0,
BRCA,ANK2,0,1,7,0,0,
BRCA,ARID1A,1,1,9,0,0,
BRCA,BRAF,1,1,7,0,0,
BRCA,CDH1,1,1,10,0,0,
BRCA,CDKN1A,1,1,8,0,0,
BRCA,CREBBP,1,1,7,0,0,
BRCA,CTCF,1,1,7,0,0,
BRCA,EGFR,1,1,13,0,0,
BRCA,EP300,1,1,10,0,0,
BRCA,ERBB2,1,1,8,1,0,
BRCA,ERBB3,1,1,7,0,0,
BRCA,FGFR3,1,1,10,0,0,
BRCA,FLG,0,1,7,0,0,
BRCA,FOXA1,1,1,7,0,0,hsa-miR-584-5p
BRCA,GATA3,1,1,8,0,0,
BRCA,HRAS,1,1,8,0,0,
BRCA,IDH1,1,1,7,0,0,
BRCA,KRAS,1,1,8,0,0,
BRCA,MAP2K4,1,1,7,0,0,
BRCA,MAP3K1,1,1,7,0,0,
BRCA,PIK3CA,1,1,13,0,0,
BRCA,PIK3R1,1,1,10,0,0,
BRCA,PTEN,1,1,11,0,0,"hsa-miR-106a-5p,hsa-miR-106b-5p,hsa-miR-17-5p,hsa-miR-93-5p"
BRCA,RB1,1,1,8,0,0,"hsa-miR-106b-5p,hsa-miR-93-5p"
BRCA,SPTAN1,0,1,7,0,0,
BRCA,TP53,1,1,14,0,0,
BRCA,C8orf33,0,0,0,1,0,
BRCA,HGH1,0,0,0,1,0,
BRCA,MTFR1,0,0,0,1,0,
BRCA,THEM6,0,0,0,1,0,
BRCA,MRPS23,0,0,0,1,0,
BRCA,TMEM68,0,0,0,1,0,
BRCA,SLC52A2,0,0,0,1,0,
BRCA,CHMP4C,0,0,0,1,0,
BRCA,RRS1,0,0,0,1,0,
BRCA,PYCR3,0,0,0,1,0,
BRCA,TONSL,0,0,0,1,0,
BRCA,METTL2A,0,0,0,1,0,
BRCA,MRPL15,0,0,0,1,0,
BRCA,MCM4,0,0,0,1,0,
BRCA,C16orf71,0,0,0,1,0,
BRCA,FADD,0,0,0,1,0,
BRCA,AMZ2,0,0,0,1,0,
BRCA,VDAC3,0,0,0,1,0,
BRCA,PPFIA1,0,0,0,1,0,
BRCA,RECQL4,1,1,0,1,0,
BRCA,LSM1,0,0,0,1,0,
BRCA,BOP1,0,0,0,1,0,
BRCA,SUPT4H1,0,0,0,1,0,
BRCA,BRF2,0,0,0,1,0,
BRCA,SMIM19,0,0,0,1,0,
BRCA,MTMR4,0,0,0,1,0,
