cancer,gene,CGC,NCG6.0,mutation,CNV,methylation,miRNA
CESC,ABCA2,0,0,7,0,0,
CESC,ABCA7,0,1,8,0,0,
CESC,ACACA,0,0,8,0,0,
CESC,ACTB,0,1,7,0,0,
CESC,AKT1,1,1,12,0,0,
CESC,ANK2,0,1,8,0,0,
CESC,ANK3,0,1,7,0,0,
CESC,APC,1,1,11,0,0,
CESC,APOB,0,1,7,0,0,
CESC,AR,1,1,9,0,0,"hsa-miR-16-2-3p,hsa-miR-205-3p,hsa-miR-31-5p"
CESC,ARHGAP5,1,1,7,0,0,
CESC,ARID1A,1,1,9,0,0,
CESC,ATM,1,1,11,0,0,hsa-miR-203a-3p
CESC,ATRX,1,1,9,0,0,
CESC,ATXN1,0,1,7,0,0,
CESC,BRAF,1,1,13,0,0,
CESC,BRCA2,1,1,7,0,0,
CESC,C3,0,1,7,0,0,
CESC,C8B,0,0,9,0,0,
CESC,CACNA1B,0,0,8,0,0,
CESC,CACNA1E,0,1,8,0,0,
CESC,CACNA1H,0,1,7,0,0,
CESC,CACNA1S,0,0,7,0,0,
CESC,CASP8,1,1,8,0,0,
CESC,CD163,0,0,7,0,0,
CESC,CDC27,0,1,10,0,0,
CESC,CDH1,1,1,11,0,0,
CESC,CDH10,1,1,9,0,0,
CESC,CDKN1A,1,1,8,0,0,
CESC,CEBPA,1,1,9,0,0,
CESC,CELSR2,0,0,7,0,0,
CESC,CHD4,1,1,9,0,0,
CESC,CHEK2,1,1,10,0,0,
CESC,CIC,1,1,8,0,0,
CESC,CLIP1,1,1,7,0,0,
CESC,CNTNAP2,1,1,7,0,0,
CESC,COL4A1,0,1,8,0,0,
CESC,COL4A2,0,1,7,0,0,
CESC,COL4A4,0,0,8,0,0,
CESC,COL5A3,0,1,8,0,0,
CESC,CPS1,0,1,9,0,0,
CESC,CREBBP,1,1,11,0,0,
CESC,CRIPAK,0,1,8,0,0,
CESC,CTBP2,0,0,8,0,0,
CESC,CTCF,1,1,8,0,0,
CESC,CTNNA2,1,1,8,0,0,
CESC,CTNNB1,1,1,14,0,0,
CESC,DMD,0,1,8,0,0,
CESC,DNAH3,0,1,8,0,0,
CESC,DNAH7,0,1,7,0,0,
CESC,DNAH9,0,1,7,0,0,
CESC,DNMT3A,1,1,9,0,0,
CESC,DOCK2,0,1,7,0,0,
CESC,DPYD,0,1,7,0,0,
CESC,DSP,0,0,7,0,0,
CESC,DST,0,1,8,0,0,
CESC,EBPL,0,0,7,0,0,
CESC,EGFR,1,1,14,0,0,
CESC,EP300,1,1,11,0,0,
CESC,EPHA6,0,1,8,0,0,
CESC,EPHB1,0,1,7,0,0,
CESC,EPRS,0,1,8,0,0,
CESC,ERBB2,1,1,9,0,0,hsa-miR-205-5p
CESC,ERBB3,1,1,8,0,0,hsa-miR-205-5p
CESC,ERBB4,1,1,7,0,0,
CESC,ERCC2,1,1,9,0,0,
CESC,F8,0,1,7,0,0,
CESC,FAM194B,0,0,7,0,0,
CESC,FAT1,1,1,7,0,0,
CESC,FBXW7,1,1,10,0,0,
CESC,FGFR2,1,1,10,0,0,
CESC,FGFR3,1,1,10,0,0,
CESC,FLG,0,1,9,0,0,
CESC,FLNA,1,1,7,0,0,
CESC,FLNC,0,0,8,0,0,
CESC,FLT3,1,1,11,0,0,
CESC,FLT4,1,1,7,0,0,
CESC,FOXA1,1,1,7,0,0,
CESC,FRG1,0,0,8,0,0,
CESC,FRG1B,0,0,8,0,0,
CESC,GABRA6,0,1,9,0,0,
CESC,GARS,0,0,9,0,0,
CESC,GATA3,1,1,8,0,0,
CESC,GRIA1,0,0,7,0,0,
CESC,GRIA2,0,1,8,0,0,
CESC,GRIA3,0,1,7,0,0,
CESC,GRIN2A,1,1,7,0,0,
CESC,GRIN2B,0,0,8,0,0,
CESC,GRM3,1,1,7,0,0,
CESC,GRM5,0,0,7,0,0,
CESC,HERC1,0,1,7,0,0,
CESC,HLA-A,1,1,7,0,0,
CESC,HLA-B,0,1,7,0,0,
CESC,HNRNPM,0,0,7,0,0,
CESC,HRAS,1,1,10,0,0,
CESC,HUWE1,0,1,8,0,0,
CESC,IDH1,1,1,11,0,0,
CESC,IDH2,1,1,10,0,0,
CESC,IDUA,0,0,8,0,0,
CESC,INPPL1,0,1,7,0,0,hsa-miR-205-5p
CESC,ITGA8,0,0,7,0,0,
CESC,ITPR1,0,0,8,0,0,
CESC,KCNB2,0,1,7,0,0,
CESC,KDR,1,1,8,0,0,
CESC,KEAP1,1,1,9,0,0,
CESC,KIT,1,1,10,0,0,
CESC,KRAS,1,1,12,0,0,
CESC,KRT1,0,0,7,0,0,
CESC,KRT8,0,0,8,0,0,
CESC,KRTAP1-5,0,0,7,0,0,
CESC,LACTB,0,0,7,0,0,hsa-miR-125b-5p
CESC,LAMA1,0,0,7,0,0,
CESC,LATS2,1,1,7,0,0,
CESC,LRIG1,0,1,8,0,0,
CESC,LRP1B,1,1,8,0,0,
CESC,LRRC4C,0,0,7,0,0,
CESC,MAGEC1,0,1,7,0,0,
CESC,MAP2K4,1,1,7,0,0,
CESC,MAP3K1,1,1,8,0,0,
CESC,MAP3K4,0,1,7,0,0,
CESC,MAPK1,1,1,10,0,0,
CESC,MET,1,1,9,0,0,
CESC,MGAM,0,1,8,0,0,
CESC,MKI67,0,1,7,0,0,
CESC,MLL2,0,0,8,0,0,
CESC,MLL3,0,0,9,0,0,
CESC,MUC5B,0,0,7,0,0,
CESC,MYH13,0,0,8,0,0,
CESC,MYH2,0,1,9,0,0,
CESC,MYH4,0,1,7,0,0,
CESC,MYH7,0,1,8,0,0,
CESC,MYH8,0,0,7,0,0,
CESC,MYH9,1,1,7,0,0,
CESC,MYLK,0,0,10,0,0,
CESC,NCOA3,0,1,8,0,0,
CESC,NCOR2,1,1,9,0,0,
CESC,NEB,0,1,7,0,0,
CESC,NEFH,0,1,8,0,0,
CESC,NF1,1,1,9,0,0,
CESC,NF2,1,1,8,0,0,
CESC,NLRP4,0,0,7,0,0,
CESC,NOS1,0,0,8,0,0,
CESC,NOTCH1,1,1,9,0,0,
CESC,NOTCH4,0,1,8,0,0,
CESC,NPM1,1,1,11,0,0,
CESC,NRAS,1,1,12,0,0,
CESC,NRXN1,0,1,8,0,0,
CESC,NSD1,1,1,7,0,0,
CESC,OBSCN,0,1,8,0,0,
CESC,OPRD1,0,0,8,0,0,
CESC,PANK2,0,0,7,0,0,
CESC,PCDHB12,0,0,7,0,0,
CESC,PCDHGA3,0,0,7,0,0,
CESC,PCLO,0,1,7,0,0,
CESC,PDGFRA,1,1,9,0,0,
CESC,PIK3CA,1,1,13,0,0,
CESC,PIK3CG,0,1,7,0,0,
CESC,PIK3R1,1,1,12,0,0,
CESC,PLCG1,1,1,8,0,0,
CESC,PLCG2,0,1,7,0,0,
CESC,PPM1E,0,0,7,0,0,
CESC,PPP2R1A,1,1,9,0,0,
CESC,PRB2,0,1,7,0,0,
CESC,PRKDC,0,0,7,0,0,
CESC,PRPF8,0,0,7,0,0,
CESC,PTEN,1,1,13,0,0,
CESC,PTPN11,1,1,11,0,0,
CESC,PTPRT,1,1,7,0,0,
CESC,RAC1,1,1,7,0,0,
CESC,RB1,1,1,9,0,0,
CESC,RELN,0,1,10,0,0,
CESC,RHOA,1,1,9,0,0,
CESC,ROCK1,0,0,7,0,0,
CESC,ROCK2,0,0,7,0,0,
CESC,RREB1,0,1,7,0,0,
CESC,RUNX1,1,1,9,0,0,
CESC,RUNX1T1,1,1,7,0,0,"hsa-miR-106b-5p,hsa-miR-15b-5p,hsa-miR-16-5p,hsa-miR-210-3p"
CESC,RYR2,0,1,7,0,0,
CESC,SCARF2,0,0,7,0,0,
CESC,SCN10A,0,1,8,0,0,
CESC,SCN2A,0,0,7,0,0,
CESC,SEMA5B,0,1,8,0,0,
CESC,SETD2,1,1,8,0,0,
CESC,SF3B1,1,1,8,0,0,
CESC,SI,0,1,8,0,0,
CESC,SLIT2,0,1,7,0,0,
CESC,SMAD4,1,1,9,0,0,
CESC,SMARCA2,0,0,7,0,0,
CESC,SMARCA4,1,1,8,0,0,
CESC,SMC3,0,1,7,0,0,
CESC,SOS1,0,1,8,0,0,
CESC,SPTA1,0,1,10,0,0,
CESC,SPTAN1,0,1,8,0,0,
CESC,STAG2,1,1,8,0,0,
CESC,STK11,1,1,11,-1,0,
CESC,SYNE1,0,1,8,0,0,
CESC,TBP,0,1,7,0,0,
CESC,TG,0,1,7,0,0,
CESC,TMEM189-UBE2V1,0,0,8,0,0,
CESC,TNR,0,1,7,0,0,
CESC,TP53,1,1,14,0,0,
CESC,TPO,0,1,8,0,0,
CESC,TPRX1,0,0,7,0,0,
CESC,TRIOBP,0,1,8,0,0,
CESC,TUBA3C,0,1,8,0,0,
CESC,U2AF1,1,1,9,0,0,
CESC,UQCRFS1,0,0,7,0,0,
CESC,USH2A,0,1,8,0,0,
CESC,USP42,0,0,7,0,0,
CESC,VCAN,0,1,7,0,0,
CESC,VWF,0,1,7,0,0,
CESC,WT1,1,1,9,0,0,
CESC,ZFPM1,0,0,7,0,0,
CESC,ZNF208,0,1,7,0,0,
CESC,ZNF598,0,0,8,0,0,
CESC,ZNF91,0,0,8,0,0,
CESC,ZZEF1,0,1,7,0,0,
CESC,RHD,0,0,0,-1,0,
CESC,TIMM50,0,0,0,1,0,
CESC,TP63,1,1,0,1,0,
CESC,PABPC1L,0,1,0,1,0,
CESC,SPINT2,0,0,0,1,0,
CESC,PSMD8,0,0,0,1,0,
CESC,ZNF566,0,0,0,1,0,
CESC,GGT7,0,0,0,1,0,
CESC,EXOC3-AS1,0,0,0,1,0,
CESC,ZNF567,0,0,0,1,0,
CESC,LRRC37A,0,0,0,-1,0,
CESC,RPS16,0,0,0,1,0,
CESC,HLA-DRB5,0,0,0,1,0,
CESC,MRPS12,0,0,0,1,0,
CESC,C20orf27,0,0,0,1,0,
CESC,OR2A7,0,0,0,-1,0,
CESC,ZNF461,0,0,0,1,0,
CESC,LRFN1,0,0,0,1,0,
CESC,MICB,0,0,0,1,0,
CESC,VN1R1,0,0,0,1,0,
CESC,NECTIN2,0,0,0,1,0,
CESC,ZNF419,0,0,0,1,0,
CESC,ZNF350,0,0,0,1,0,
CESC,SALL4,1,1,0,1,0,
CESC,C19orf25,0,0,0,-1,0,
CESC,BCAM,0,0,0,1,0,
CESC,CBLC,1,1,0,1,0,
CESC,TRIP13,0,0,0,1,0,
CESC,SYNE4,0,0,0,1,0,
CESC,DOK7,0,0,0,-1,0,
CESC,ZNF57,0,0,0,-1,0,
CESC,GSTM1,0,0,0,-1,0,
CESC,ARHGAP42,0,0,0,-1,0,
CESC,FUT4,0,0,0,-1,0,
CESC,CAB39L,0,0,0,-1,0,
CESC,GSTT2B,0,0,0,-1,0,
CESC,MMP1,0,0,0,-1,0,
CESC,RPSA,0,0,0,-1,0,
CESC,ZFR2,0,1,0,-1,0,
CESC,PRR22,0,0,0,-1,0,
CESC,MAGI1,0,0,0,-1,0,
CESC,FHIT,1,1,0,-1,0,
CESC,ZMYND10,0,1,0,-1,0,
CESC,KIF9,0,0,0,-1,0,
CESC,LZTFL1,0,0,0,-1,0,
CESC,CYB561D2,0,0,0,-1,0,
CESC,TMEM89,0,0,0,-1,0,
CESC,STAP2,0,0,0,-1,0,
CESC,MKRN2OS,0,0,0,-1,0,
CESC,ATP7B,0,0,0,-1,0,
CESC,LRRN1,0,0,0,-1,0,
CESC,CMTM8,0,0,0,-1,0,
CESC,SIGLEC14,0,0,0,-1,0,
CESC,PSPN,0,0,0,-1,0,
CESC,SLC23A3,0,0,0,-1,0,
CESC,MPND,0,0,0,-1,0,
CESC,CHDH,0,0,0,-1,0,
CESC,MRPL54,0,0,0,-1,0,
CESC,NEK3,0,0,0,-1,0,
CESC,FBXO36,0,0,0,-1,0,
CESC,TMEM198,0,0,0,-1,0,
CESC,OXTR,0,0,0,-1,0,
CESC,KCTD6,0,0,0,-1,0,
CESC,LMOD3,0,0,0,-1,0,
CESC,TTC21A,0,0,0,-1,0,
CESC,NEK5,0,0,0,-1,0,
CESC,SEMA3B,0,0,0,-1,0,
CESC,NAT1,0,0,0,-1,0,
CESC,EBLN2,0,0,0,-1,0,
CESC,CCDC96,0,0,0,-1,0,
CESC,IZUMO4,0,0,0,-1,0,
CESC,CTSO,0,0,0,-1,0,
CESC,SEL1L3,0,0,0,-1,0,
CESC,LAP3,0,0,0,-1,0,
CESC,ITM2C,0,0,0,-1,0,
CESC,PTPRG,0,0,0,-1,0,
CESC,CCDC13,0,0,0,-1,0,
CESC,NEK10,0,0,0,-1,0,
CESC,IL17RD,0,0,0,-1,0,
CESC,TLCD2,0,0,0,-1,0,
CESC,SLC16A14,0,0,0,-1,0,
CESC,DNAJC15,0,0,0,-1,0,
CESC,FGFRL1,0,0,0,-1,0,
CESC,GLYCTK,0,0,0,-1,0,
CESC,CELSR3,0,1,0,-1,0,
CESC,MDH1B,0,0,0,-1,0,
CESC,ZNF502,0,0,0,-1,0,
CESC,RNF168,0,1,0,1,0,
CESC,PIGX,0,0,0,1,0,
CESC,NMNAT3,0,0,0,1,0,
CESC,TMEM44,0,0,0,1,0,
CESC,PLD1,0,0,0,1,0,
CESC,PPP2R3A,0,0,0,1,0,
CESC,ATP1B3,0,0,0,1,0,
CESC,ABCC5,0,1,0,1,0,
CESC,GPR87,0,0,0,1,0,
CESC,EPHB3,0,0,0,1,0,
CESC,CEP19,0,0,0,1,0,
CESC,TNFSF10,0,1,0,1,0,
CESC,RPL39L,0,0,0,1,0,
CESC,IL20RB,0,0,0,1,0,
CESC,GRK7,0,0,0,1,0,
CESC,P2RY1,0,0,0,1,0,
CESC,OSMR,0,1,0,1,0,hsa-miR-363-3p
CESC,MLF1,1,1,0,1,0,
CESC,RPL7,0,0,0,1,0,
CESC,HRASLS,0,0,0,1,0,
CESC,PXMP4,0,1,0,1,0,
CESC,NIM1K,0,0,0,1,0,
CESC,ALG1L,0,0,0,1,0,
CESC,SOX2,1,1,0,1,0,
CESC,RBP1,0,0,0,1,0,
CESC,BNIPL,0,0,0,1,0,
CESC,SPSB4,0,0,0,1,0,
CESC,CNBD2,0,0,0,1,0,
CESC,NAA38,0,0,0,-1,0,
CESC,NSUN7,0,0,0,-1,0,
CESC,PCDH7,0,0,0,-1,0,
CESC,ATP8A1,0,0,0,-1,0,
CESC,GLTPD2,0,0,0,-1,0,
