cancer,gene,CGC,NCG6.0,mutation,CNV,methylation,miRNA
KIRP,ACTB,0,1,7,0,0,
KIRP,AKT1,1,1,10,0,0,
KIRP,ANK2,0,1,7,0,0,
KIRP,APC,1,1,11,0,0,hsa-miR-21-5p
KIRP,ARID1A,1,1,9,0,0,
KIRP,ATM,1,1,7,0,0,
KIRP,BRAF,1,1,10,0,0,
KIRP,CACNA1B,0,0,7,0,0,
KIRP,CACNA1S,0,0,7,0,0,
KIRP,CASP8,1,1,8,0,0,
KIRP,CDC27,0,1,8,0,0,
KIRP,CDH1,1,1,10,0,0,
KIRP,CDKN1A,1,1,8,0,-1,
KIRP,CHEK2,1,1,7,0,0,
KIRP,CREBBP,1,1,9,0,0,
KIRP,CTCF,1,1,7,0,0,
KIRP,CTNNB1,1,1,8,0,0,
KIRP,DST,0,1,7,0,0,
KIRP,EGFR,1,1,13,0,0,
KIRP,EP300,1,1,10,0,0,
KIRP,ERBB2,1,1,8,0,0,
KIRP,ERBB3,1,1,7,0,0,
KIRP,FBXW7,1,1,9,0,0,
KIRP,FGFR3,1,1,10,0,0,
KIRP,FLG,0,1,8,0,0,
KIRP,FOXA1,1,1,7,0,0,
KIRP,FRG1B,0,0,7,0,0,
KIRP,GATA3,1,1,8,0,0,
KIRP,HRAS,1,1,9,0,0,
KIRP,IDH1,1,1,7,0,0,
KIRP,ITPR1,0,0,7,0,0,
KIRP,KRAS,1,1,11,0,0,
KIRP,MAP2K4,1,1,7,0,0,
KIRP,MAP3K1,1,1,7,0,0,hsa-miR-34a-5p
KIRP,MET,1,1,7,1,-1,
KIRP,MLL3,0,0,8,0,0,
KIRP,NEFH,0,1,8,0,0,
KIRP,NOTCH1,1,1,7,0,0,
KIRP,NRAS,1,1,9,0,0,
KIRP,OPRD1,0,0,8,0,0,
KIRP,PDGFRA,1,1,7,0,0,
KIRP,PIK3CA,1,1,13,0,0,
KIRP,PIK3R1,1,1,11,0,0,
KIRP,PTEN,1,1,12,0,0,
KIRP,RAC1,1,1,7,0,0,
KIRP,RB1,1,1,9,0,0,
KIRP,RHOA,1,1,7,0,0,
KIRP,SETD2,1,1,8,0,0,
KIRP,SF3B1,1,1,8,0,0,
KIRP,SMAD4,1,1,8,0,0,
KIRP,SPTAN1,0,1,7,0,0,
KIRP,STAG2,1,1,7,0,0,hsa-miR-34a-5p
KIRP,TBP,0,1,7,0,0,
KIRP,TP53,1,1,14,0,0,
KIRP,ZNF598,0,0,8,0,0,
KIRP,ARL17B,0,0,0,1,0,
KIRP,MYH3,0,0,0,1,0,
KIRP,GPS2,0,1,0,1,0,
KIRP,LHFPL3,0,0,0,1,0,
KIRP,CD200,0,1,0,1,-1,
KIRP,GBP3,0,0,0,-1,0,
KIRP,CHL1,0,0,0,1,0,
KIRP,MYO15A,0,0,0,1,0,
KIRP,RASA4,0,0,0,1,0,
KIRP,SYCE1L,0,0,0,1,0,
KIRP,HLA-DRB5,0,0,0,1,0,
KIRP,HHLA2,0,0,0,1,0,
KIRP,RNF222,0,0,0,1,0,hsa-miR-143-5p
KIRP,RHD,0,0,0,-1,0,
KIRP,GSTT2B,0,0,0,-1,0,
KIRP,UGT2B17,0,0,0,-1,0,
KIRP,CFHR1,0,0,0,-1,0,
KIRP,SIGLEC14,0,0,0,-1,0,
KIRP,HOXA3,0,0,0,1,0,hsa-miR-424-5p
KIRP,TES,0,0,0,1,0,
KIRP,SUN1,0,0,0,1,-1,
KIRP,COBL,0,0,0,1,0,
KIRP,MACC1,1,1,0,1,-1,"hsa-miR-143-3p,hsa-miR-338-3p"
KIRP,ABHD11,0,0,0,1,-1,hsa-miR-1-3p
KIRP,ISPD,0,0,0,1,0,
KIRP,PCLO,0,1,0,1,0,
KIRP,RUNDC3B,0,0,0,1,0,hsa-miR-29b-3p
KIRP,CREB5,0,0,0,1,0,
KIRP,TPK1,0,0,0,1,0,
KIRP,ZNF862,0,0,0,1,0,
KIRP,IQUB,0,0,0,1,0,
KIRP,CFAP69,0,0,0,1,0,
KIRP,CDHR3,0,1,0,1,0,
KIRP,ZNF789,0,0,0,1,0,
KIRP,EPHA1,0,1,0,1,0,
