cancer,gene,CGC,NCG6.0,mutation,CNV,methylation,miRNA
LIHC,CTNNB1,1,1,9,0,0,
LIHC,PIK3CA,1,1,7,0,0,
LIHC,TP53,1,1,11,0,0,
LIHC,POLR2K,0,0,0,1,0,
LIHC,MTERF3,0,0,0,1,0,
LIHC,ATP6V1C1,0,0,0,1,0,
LIHC,NSMCE2,0,1,0,1,0,
LIHC,SCRIB,0,0,0,1,0,
LIHC,C8orf33,0,0,0,1,0,
LIHC,FAM83H,0,0,0,1,0,
LIHC,ENY2,0,0,0,1,0,
LIHC,MRPL13,0,0,0,1,0,
LIHC,HGH1,0,0,0,1,0,
LIHC,DCAF13,0,0,0,1,0,
LIHC,PABPC1,1,1,0,1,0,
LIHC,SHARPIN,0,0,0,1,0,
LIHC,PUF60,0,0,0,1,0,
LIHC,NDUFAF6,0,0,0,1,-1,
LIHC,TIGD5,0,0,0,1,0,
LIHC,C8orf76,0,0,0,1,0,
LIHC,ZFP41,0,0,0,1,0,
LIHC,ELOC,0,1,0,1,0,
LIHC,EIF3E,1,1,0,1,0,
LIHC,C8orf59,0,0,0,1,0,
LIHC,CYHR1,0,0,0,1,0,
LIHC,RPL30,0,0,0,1,0,
LIHC,COMMD5,0,0,0,1,0,
LIHC,WDYHV1,0,0,0,1,0,
LIHC,EEF1D,0,0,0,1,0,
LIHC,RRS1,0,0,0,1,0,
LIHC,GPAA1,0,0,0,1,0,
LIHC,ADCK5,0,0,0,1,0,
LIHC,FBXL6,0,0,0,1,0,
LIHC,VPS28,0,0,0,1,0,
LIHC,COX6C,1,1,0,1,0,
LIHC,GLI4,0,0,0,1,0,
LIHC,NDUFB9,0,1,0,1,0,
LIHC,TOP1MT,0,0,0,1,0,
LIHC,PYCR3,0,0,0,1,0,
LIHC,CHCHD7,1,1,0,1,0,
LIHC,C8orf82,0,0,0,1,0,
LIHC,EPHX1,0,0,0,1,0,
LIHC,RPL7,0,0,0,1,0,
LIHC,SQLE,0,0,0,1,1,
LIHC,LYNX1,0,0,0,1,0,
LIHC,ZHX1-C8orf76,0,0,0,1,0,
LIHC,BOP1,0,0,0,1,0,
LIHC,CFHR2,0,1,0,1,0,
LIHC,SUSD4,0,0,0,1,0,
LIHC,MFSD3,0,0,0,1,0,
LIHC,PPP1R16A,0,0,0,1,0,
LIHC,RPL8,0,0,0,1,0,
LIHC,LAPTM4B,0,1,0,1,-1,
LIHC,GGH,0,0,0,1,0,
LIHC,RPS20,0,0,0,1,0,
LIHC,CEBPD,0,0,0,1,0,
LIHC,MROH6,0,0,0,1,0,
LIHC,EXOSC4,0,0,0,1,0,
LIHC,LRRC69,0,0,0,1,0,
LIHC,C8orf44-SGK3,0,0,0,1,0,
LIHC,ZDHHC11,0,0,0,1,0,
LIHC,RGS14,0,0,0,1,0,
LIHC,NDUFA2,0,0,0,1,0,
LIHC,UQCRQ,0,0,0,1,0,
LIHC,TK1,0,0,0,1,0,
LIHC,LY6E,0,0,0,1,0,
LIHC,RECQL4,1,1,0,1,0,
LIHC,ANAPC11,0,0,0,1,0,
LIHC,PTP4A3,0,0,0,1,0,
LIHC,POLB,0,0,0,-1,0,
LIHC,ATOX1,0,0,0,1,0,
LIHC,SIRPB1,0,1,0,1,0,
LIHC,NDRG1,1,1,0,1,0,
LIHC,SLC39A4,0,0,0,1,0,
LIHC,CYP51A1,0,0,0,1,0,
LIHC,NUDT6,0,0,0,-1,0,
LIHC,DHRS7B,0,0,0,-1,0,
LIHC,SIGLEC14,0,0,0,-1,0,
LIHC,CBR4,0,0,0,-1,0,
LIHC,LDLRAP1,0,0,0,-1,0,
LIHC,NDFIP2,0,0,0,-1,0,
LIHC,SLC25A30,0,0,0,-1,0,
LIHC,F11,0,0,0,-1,0,
LIHC,UGT2B17,0,0,0,-1,0,
LIHC,SDHB,1,1,0,-1,0,
LIHC,COX7A2,0,0,0,-1,0,
LIHC,GBP3,0,0,0,-1,0,"hsa-miR-17-5p,hsa-miR-20a-5p"
LIHC,SRSF12,0,0,0,-1,0,
LIHC,USP53,0,0,0,-1,0,
LIHC,DDTL,0,0,0,-1,0,
LIHC,LETM2,0,0,0,-1,0,
LIHC,CENPW,0,0,0,-1,0,
LIHC,DPF3,0,0,0,-1,0,
LIHC,RHD,0,0,0,-1,0,
LIHC,POMK,0,0,0,-1,0,
LIHC,TLR3,0,0,0,-1,0,
LIHC,HMGCL,0,0,0,-1,0,hsa-miR-106b-5p
LIHC,AXIN1,1,1,0,-1,0,
LIHC,PGM3,0,0,0,-1,0,
LIHC,ANXA10,0,0,0,-1,0,
LIHC,RAB11FIP1,0,0,0,-1,-1,
LIHC,SLC39A14,0,0,0,-1,0,
LIHC,TTK,0,1,0,-1,0,
LIHC,CES2,0,0,0,-1,0,hsa-miR-106b-5p
LIHC,MAN1A1,0,0,0,-1,0,
LIHC,MMAA,0,0,0,-1,0,
LIHC,NXN,0,0,0,-1,0,
LIHC,CPTP,0,0,0,-1,0,
LIHC,NKX3-1,0,1,0,-1,0,
LIHC,SCML4,0,0,0,-1,0,
LIHC,KLHL21,0,0,0,-1,0,
LIHC,GINS4,0,0,0,-1,0,
LIHC,CELA2B,0,0,0,-1,0,
LIHC,C1orf167,0,0,0,-1,0,
LIHC,LMO7,0,0,0,-1,0,
LIHC,MTFR2,0,0,0,-1,0,
