cancer,gene,CGC,NCG6.0,mutation,CNV,methylation,miRNA
LUAD,ACTB,0,1,7,0,0,
LUAD,AKT1,1,1,10,0,0,
LUAD,ANK2,0,1,8,0,0,
LUAD,APC,1,1,11,0,0,hsa-miR-210-3p
LUAD,ARID1A,1,1,9,0,0,
LUAD,ATM,1,1,9,0,0,
LUAD,BRAF,1,1,12,0,0,
LUAD,CACNA1B,0,0,8,0,0,
LUAD,CACNA1E,0,1,8,0,0,
LUAD,CACNA1S,0,0,7,0,0,
LUAD,CASP8,1,1,8,0,0,
LUAD,CDC27,0,1,9,0,0,
LUAD,CDH1,1,1,10,0,0,
LUAD,CDKN1A,1,1,8,0,0,
LUAD,CEBPA,1,1,9,0,0,
LUAD,CHEK2,1,1,8,0,0,
LUAD,CPS1,0,1,7,0,0,
LUAD,CREBBP,1,1,9,0,0,
LUAD,CTCF,1,1,7,0,0,
LUAD,CTNNB1,1,1,8,0,0,
LUAD,DNMT3A,1,1,8,0,0,hsa-miR-101-3p
LUAD,DST,0,1,8,0,0,
LUAD,EGFR,1,1,13,1,0,
LUAD,EP300,1,1,10,0,0,
LUAD,ERBB2,1,1,9,0,0,
LUAD,ERBB3,1,1,7,0,0,
LUAD,FBXW7,1,1,9,0,0,
LUAD,FGFR3,1,1,10,0,0,
LUAD,FLG,0,1,8,0,0,
LUAD,FLT3,1,1,11,0,0,
LUAD,FOXA1,1,1,7,1,0,
LUAD,FRG1B,0,0,7,0,0,
LUAD,GATA3,1,1,8,0,0,
LUAD,HRAS,1,1,9,0,0,
LUAD,IDH1,1,1,10,0,0,
LUAD,IDH2,1,1,9,0,0,
LUAD,ITPR1,0,0,7,0,0,
LUAD,KEAP1,1,1,9,0,0,
LUAD,KIT,1,1,10,0,0,
LUAD,KRAS,1,1,12,0,0,
LUAD,MAP2K4,1,1,7,0,0,
LUAD,MAP3K1,1,1,7,0,0,hsa-miR-193b-3p
LUAD,MET,1,1,9,0,0,
LUAD,MLL3,0,0,8,0,0,
LUAD,NCOR2,1,1,7,0,0,
LUAD,NEFH,0,1,8,0,0,
LUAD,NF1,1,1,7,0,0,
LUAD,NOTCH1,1,1,7,0,0,
LUAD,NPM1,1,1,10,0,0,hsa-miR-125a-5p
LUAD,NRAS,1,1,12,0,0,
