cancer,gene,CGC,NCG6.0,mutation,CNV,methylation,miRNA
PRAD,TP53,1,1,8,0,0,
PRAD,HLA-DRB5,0,0,0,1,0,
PRAD,SIRPB1,0,1,0,1,0,
PRAD,LRRC37A,0,0,0,-1,0,
PRAD,OR2A7,0,0,0,-1,0,
PRAD,RHD,0,0,0,-1,0,
PRAD,KIFC2,0,0,0,1,0,
PRAD,SLC7A13,0,1,0,1,0,
PRAD,SLC39A4,0,0,0,1,0,
PRAD,HNF4G,0,0,0,1,0,
PRAD,TMEM249,0,0,0,1,0,
PRAD,FOXH1,0,0,0,1,0,
PRAD,SPATC1,0,0,0,1,0,
PRAD,FAM3B,0,0,0,-1,0,
PRAD,ANK1,1,1,0,-1,0,
PRAD,IGSF5,0,0,0,-1,0,
PRAD,PTEN,1,1,0,-1,0,
PRAD,CHRNA2,0,0,0,-1,0,
PRAD,NAT2,0,0,0,-1,0,
PRAD,SIGLEC14,0,0,0,-1,0,
PRAD,PABPC1,1,1,0,1,0,
PRAD,OTUD6B,0,0,0,1,0,
PRAD,CHMP4C,0,0,0,1,0,
PRAD,FBXO43,0,0,0,1,0,
PRAD,IMPA1,0,0,0,1,0,
PRAD,CCNE2,0,0,0,1,0,
PRAD,SLCO5A1,0,0,0,1,0,
PRAD,ATAD1,0,0,0,-1,0,
PRAD,RNLS,0,0,0,-1,0,
PRAD,FRK,0,0,0,-1,0,
PRAD,AMD1,0,0,0,-1,0,
PRAD,FAM124A,0,0,0,-1,0,
PRAD,KLLN,0,0,0,-1,0,
PRAD,ALOX15B,0,0,0,-1,0,
PRAD,FA2H,0,0,0,-1,0,
PRAD,LGI3,0,0,0,-1,0,
PRAD,GUCY2D,0,0,0,-1,0,
PRAD,PEBP4,0,0,0,-1,0,
PRAD,SLC22A16,0,0,0,-1,0,
PRAD,RSPH4A,0,0,0,-1,0,
PRAD,ACSL1,0,0,0,0,-1,
PRAD,AFF3,1,1,0,0,1,
PRAD,AR,1,1,0,0,-1,
PRAD,ARL4C,0,0,0,0,1,
PRAD,BHLHA15,0,0,0,0,-1,
PRAD,C1orf116,0,0,0,0,-1,
PRAD,CANT1,1,1,0,0,-1,
PRAD,CES4A,0,0,0,0,1,
PRAD,CGNL1,0,0,0,0,1,
PRAD,CLMN,0,0,0,0,-1,
PRAD,CTIF,0,1,0,0,1,
PRAD,DAPK1,0,0,0,0,1,
PRAD,DHX15,0,0,0,0,-1,
PRAD,EIF4EBP1,0,0,0,0,1,
PRAD,ERBB3,1,1,0,0,-1,
PRAD,ERP44,0,0,0,0,-1,
PRAD,FADS2,0,0,0,0,1,
PRAD,FAM234B,0,0,0,0,-1,
PRAD,FAM43A,0,0,0,0,1,
PRAD,FASN,0,0,0,0,-1,
PRAD,FZD1,0,1,0,0,1,
PRAD,GREB1,0,0,0,0,-1,
PRAD,ID2,0,0,0,0,1,
PRAD,IGF1R,0,1,0,0,1,
PRAD,IL1R1,0,0,0,0,1,
PRAD,IQCA1,0,0,0,0,1,
PRAD,IRX5,0,0,0,0,1,
PRAD,ITPRIPL1,0,0,0,0,1,
PRAD,KANSL3,0,0,0,0,1,
PRAD,KLF12,0,0,0,0,1,
PRAD,KLF13,0,0,0,0,1,"hsa-miR-19a-3p,hsa-miR-19b-3p"
PRAD,KRT23,0,0,0,0,1,
PRAD,LRP5,0,0,0,0,1,
PRAD,MAX,1,1,0,0,1,
PRAD,MIPEP,0,0,0,0,-1,
PRAD,MPC2,0,0,0,0,-1,
