cancer,gene,CGC,NCG6.0,mutation,CNV,methylation,miRNA
SKCM,ABCA7,0,1,7,0,0,
SKCM,ACTB,0,1,7,0,0,
SKCM,AKT1,1,1,11,0,0,
SKCM,ANK2,0,1,8,0,0,
SKCM,APC,1,1,11,0,0,
SKCM,AR,1,1,7,0,0,
SKCM,ARHGAP5,1,1,7,0,0,
SKCM,ARID1A,1,1,9,0,0,
SKCM,ATM,1,1,10,0,0,
SKCM,BRAF,1,1,13,0,0,
SKCM,BRCA2,1,1,7,0,0,
SKCM,C8B,0,0,8,0,0,
SKCM,CACNA1B,0,0,8,0,0,
SKCM,CACNA1E,0,1,8,0,0,
SKCM,CACNA1S,0,0,7,0,0,
SKCM,CASP8,1,1,8,0,0,
SKCM,CDC27,0,1,9,0,0,
SKCM,CDH1,1,1,10,0,0,
SKCM,CDH10,1,1,8,0,0,
SKCM,CDKN1A,1,1,8,0,0,
SKCM,CEBPA,1,1,9,0,0,
SKCM,CHEK2,1,1,8,0,0,
SKCM,CLIP1,1,1,7,0,0,
SKCM,CNTNAP2,1,1,7,0,0,
SKCM,COL4A2,0,1,7,0,0,
SKCM,COL4A4,0,0,8,0,0,
SKCM,CPS1,0,1,9,0,0,
SKCM,CREBBP,1,1,9,0,0,
SKCM,CTCF,1,1,7,0,0,
SKCM,CTNNA2,1,1,7,0,0,
SKCM,CTNNB1,1,1,9,0,0,
SKCM,DMD,0,1,7,0,0,
SKCM,DNMT3A,1,1,9,0,0,
SKCM,DSP,0,0,7,0,0,
SKCM,DST,0,1,8,0,0,
SKCM,EGFR,1,1,13,0,0,
SKCM,EP300,1,1,10,0,0,
SKCM,EPHA6,0,1,7,0,0,
SKCM,EPHB1,0,1,7,0,0,
SKCM,EPRS,0,1,7,0,0,
SKCM,ERBB2,1,1,9,0,0,
SKCM,ERBB3,1,1,7,0,0,
SKCM,ERBB4,1,1,7,0,0,
SKCM,FBXW7,1,1,9,0,0,
SKCM,FGFR3,1,1,10,0,0,
SKCM,FLG,0,1,8,0,0,
SKCM,FLNC,0,0,8,0,0,
SKCM,FLT3,1,1,11,0,0,
SKCM,FOXA1,1,1,7,0,0,
SKCM,FRG1B,0,0,7,0,0,
SKCM,GABRA6,0,1,8,0,0,
SKCM,GATA3,1,1,8,0,0,
SKCM,GRIA2,0,1,8,0,0,
SKCM,GRIN2A,1,1,7,0,0,
SKCM,GRM3,1,1,7,0,0,
SKCM,HERC1,0,1,7,0,0,
SKCM,HRAS,1,1,9,0,0,
SKCM,IDH1,1,1,10,0,0,
SKCM,IDH2,1,1,9,0,0,
SKCM,ITGA8,0,0,7,0,0,
SKCM,ITPR1,0,0,8,0,0,
SKCM,KCNB2,0,1,7,0,0,
SKCM,KDR,1,1,7,0,0,
SKCM,KEAP1,1,1,9,0,0,
SKCM,KIT,1,1,10,0,0,
SKCM,KRAS,1,1,12,0,0,
SKCM,LAMA1,0,0,7,0,0,
SKCM,LRP1B,1,1,7,0,0,
SKCM,LRRC4C,0,0,7,0,0,
SKCM,MAP2K4,1,1,7,0,0,
SKCM,MAP3K1,1,1,7,0,0,
SKCM,MAPK1,1,1,7,0,0,
SKCM,MET,1,1,9,0,0,
SKCM,MGAM,0,1,8,0,0,
SKCM,MLL2,0,0,7,0,0,
SKCM,MLL3,0,0,8,0,0,
SKCM,MYH13,0,0,8,0,0,
SKCM,MYH2,0,1,9,0,0,
SKCM,MYH7,0,1,7,0,0,
SKCM,MYH9,1,1,7,0,0,
SKCM,NCOA3,0,1,8,0,0,
SKCM,NCOR2,1,1,9,0,0,
SKCM,NEFH,0,1,8,0,0,
SKCM,NF1,1,1,8,0,0,
SKCM,NF2,1,1,8,0,0,
SKCM,NLRP4,0,0,7,0,0,
SKCM,NOS1,0,0,7,0,0,
SKCM,NOTCH1,1,1,7,0,0,
SKCM,NOTCH4,0,1,7,0,0,
SKCM,NPM1,1,1,10,0,0,
SKCM,NRAS,1,1,12,0,0,
SKCM,NRXN1,0,1,8,0,0,
SKCM,OBSCN,0,1,7,0,0,
SKCM,OPRD1,0,0,8,0,0,
SKCM,PCDHGA3,0,0,7,-1,0,
SKCM,PDGFRA,1,1,8,0,0,
SKCM,PIK3CA,1,1,13,0,0,
SKCM,PIK3CG,0,1,7,0,0,
SKCM,PIK3R1,1,1,11,0,0,
SKCM,PPM1E,0,0,7,0,0,
SKCM,PTEN,1,1,12,0,0,
SKCM,PTPN11,1,1,10,0,0,
SKCM,PTPRT,1,1,7,0,0,
SKCM,RAC1,1,1,7,0,0,
SKCM,RB1,1,1,9,0,0,
SKCM,RELN,0,1,7,0,0,
SKCM,RHOA,1,1,7,0,0,
SKCM,ROCK1,0,0,7,0,0,
SKCM,ROCK2,0,0,7,0,0,
SKCM,RUNX1,1,1,9,0,0,
SKCM,RUNX1T1,1,1,7,0,0,
SKCM,RYR2,0,1,7,0,0,
SKCM,SCN10A,0,1,7,0,0,
SKCM,SCN2A,0,0,7,0,0,
SKCM,SETD2,1,1,8,0,0,
SKCM,SF3B1,1,1,8,0,0,
SKCM,SI,0,1,7,0,0,
SKCM,SLIT2,0,1,7,0,0,
SKCM,SMAD4,1,1,9,0,0,
SKCM,SMARCA4,1,1,8,0,0,
SKCM,SOS1,0,1,8,0,0,
SKCM,SPTA1,0,1,9,0,0,
SKCM,SPTAN1,0,1,7,0,0,
SKCM,STAG2,1,1,7,0,0,
SKCM,STK11,1,1,10,0,0,
SKCM,TBP,0,1,7,0,0,
SKCM,TP53,1,1,14,0,0,
SKCM,TUBA3C,0,1,8,0,0,
SKCM,U2AF1,1,1,9,0,0,
SKCM,USH2A,0,1,8,0,0,
SKCM,VCAN,0,1,7,0,0,
SKCM,WT1,1,1,8,0,0,
SKCM,ZNF208,0,1,7,0,0,
SKCM,ZNF598,0,0,8,0,0,
SKCM,ZNF91,0,0,7,0,0,
SKCM,PCDHGC5,0,0,0,-1,0,
SKCM,XRCC2,0,0,0,1,0,
SKCM,LAPTM4B,0,1,0,1,0,
SKCM,NUDCD1,0,0,0,1,0,
SKCM,CSPP1,0,0,0,1,0,
SKCM,VCPIP1,0,0,0,1,0,
SKCM,ARL17B,0,0,0,1,0,
SKCM,ZNF704,0,0,0,1,0,
SKCM,OTUD6B,0,0,0,1,0,
SKCM,LEPROTL1,1,1,0,-1,0,
SKCM,RHD,0,0,0,-1,0,
SKCM,FBXO16,0,0,0,-1,0,
SKCM,RASGEF1A,0,1,0,-1,0,
SKCM,ERICH1,0,0,0,-1,0,
SKCM,ATP6V1B2,0,1,0,-1,0,
SKCM,R3HCC1,0,0,0,-1,0,
SKCM,GSTM1,0,0,0,-1,0,
SKCM,COG4,0,0,0,-1,0,
SKCM,AK8,0,0,0,-1,0,
SKCM,MLANA,0,0,0,-1,0,
SKCM,NME5,0,0,0,-1,0,
SKCM,TDRP,0,0,0,-1,0,
SKCM,CLN8,0,0,0,-1,0,
SKCM,MAPKBP1,0,0,0,-1,0,
SKCM,RPAP1,0,0,0,-1,0,
SKCM,GPAT4,0,1,0,-1,0,
SKCM,TMEM123,0,0,0,-1,0,
SKCM,SPATA24,0,0,0,-1,0,
SKCM,HMBOX1,0,0,0,-1,0,
SKCM,DUSP4,0,0,0,-1,0,
SKCM,ALG1L2,0,0,0,-1,0,
SKCM,FAM86B1,0,0,0,-1,0,
SKCM,LONRF1,0,0,0,-1,0,
SKCM,FMN1,0,0,0,-1,0,
SKCM,MSX2,0,0,0,-1,0,
SKCM,FAM160B2,0,0,0,-1,0,
SKCM,STKLD1,0,0,0,-1,0,
SKCM,RACK1,0,0,0,-1,0,
SKCM,TK2,0,0,0,-1,0,
SKCM,ENKUR,0,0,0,-1,0,
SKCM,KIF13B,0,0,0,-1,0,
SKCM,HIGD2A,0,0,0,-1,0,
SKCM,LZTS1,0,0,0,-1,0,
SKCM,PCDHB5,0,0,0,-1,0,
SKCM,TPRN,0,0,0,-1,0,
SKCM,TYRO3,0,0,0,-1,0,
SKCM,NUDT18,0,0,0,-1,0,
SKCM,FUK,0,1,0,-1,0,
SKCM,PCDHGB5,0,0,0,-1,0,
SKCM,REEP4,0,0,0,-1,0,
SKCM,RPS14,0,0,0,-1,0,
SKCM,NANS,0,0,0,-1,0,
SKCM,ASAH1,0,0,0,-1,0,
SKCM,PERP,0,0,0,-1,0,
