cancer,gene,CGC,NCG6.0,mutation,CNV,methylation,miRNA
STAD,ABCA2,0,0,7,0,0,
STAD,ABCA7,0,1,7,0,0,
STAD,ACTB,0,1,7,0,0,
STAD,AKT1,1,1,11,0,0,
STAD,ANK2,0,1,8,0,0,
STAD,APC,1,1,11,0,0,
STAD,AR,1,1,7,0,0,
STAD,ARHGAP5,1,1,7,0,0,
STAD,ARID1A,1,1,9,0,0,
STAD,ATM,1,1,10,0,0,
STAD,BRAF,1,1,13,0,0,
STAD,BRCA2,1,1,7,0,0,
STAD,C8B,0,0,9,0,0,
STAD,CACNA1B,0,0,8,0,0,
STAD,CACNA1E,0,1,8,0,0,
STAD,CACNA1S,0,0,7,0,0,
STAD,CASP8,1,1,8,0,0,
STAD,CD163,0,0,7,0,0,
STAD,CDC27,0,1,9,0,0,hsa-miR-195-5p
STAD,CDH1,1,1,11,0,0,
STAD,CDH10,1,1,8,0,0,
STAD,CDKN1A,1,1,8,0,0,
STAD,CEBPA,1,1,9,0,0,
STAD,CHEK2,1,1,8,0,0,
STAD,CLIP1,1,1,7,0,0,"hsa-miR-130b-3p,hsa-miR-19a-3p,hsa-miR-200a-5p"
STAD,CNTNAP2,1,1,7,0,0,
STAD,COL4A2,0,1,7,0,0,"hsa-miR-210-3p,hsa-miR-29b-3p"
STAD,COL4A4,0,0,8,0,0,hsa-miR-130b-5p
STAD,CPS1,0,1,9,0,0,
STAD,CREBBP,1,1,9,0,0,
STAD,CTCF,1,1,7,0,0,
STAD,CTNNA2,1,1,7,0,0,
STAD,CTNNB1,1,1,10,0,0,
STAD,DMD,0,1,7,0,0,"hsa-miR-19b-1-5p,hsa-miR-21-5p"
STAD,DNAH3,0,1,7,0,0,
STAD,DNAH9,0,1,7,0,0,
STAD,DNMT3A,1,1,9,0,0,
STAD,DPYD,0,1,7,0,0,
STAD,DSP,0,0,7,0,0,
STAD,DST,0,1,8,0,0,hsa-miR-500a-3p
STAD,EGFR,1,1,13,0,0,
STAD,EP300,1,1,10,0,0,
STAD,EPHA6,0,1,8,0,0,
STAD,EPHB1,0,1,7,0,0,
STAD,EPRS,0,1,7,0,0,
STAD,ERBB2,1,1,9,1,0,
STAD,ERBB3,1,1,7,0,0,"hsa-miR-125b-5p,hsa-miR-143-3p"
STAD,ERBB4,1,1,7,0,0,
STAD,FBXW7,1,1,9,0,0,
