Hugo_Symbol,MB-0362,MB-0346,MB-0386,MB-0574,MB-0503,MB-0641,MB-0201,MB-0218,MB-0316,MB-0189,MB-0891,MB-0658,MB-0899,MB-0605,MB-0258
RERE,8.67697843,9.653589471,9.033588668,8.814855494,9.274264669,9.28658507,8.437347104,8.569972878,8.892102377,8.922748485,9.053967126,8.293002585,8.643689431,8.576128169,9.14573929
RNF165,6.07533084,6.687887066,5.910884641,5.628740046,5.908697652,6.206728732,6.0955921,6.383530471,5.773690851,6.461321213,6.093466503,6.725088487,7.010217195,6.058684233,6.248063316
CD049690,5.453927669,5.454184984,5.50157743,5.471940941,5.531743083,5.372667911,5.693518729,5.401276279,5.56794645,5.410957148,5.251529283,5.397237093,5.47724806,5.245658407,5.551139769
BC033982,4.994524957,5.346009628,5.24746668,5.316523021,5.244094244,5.167365091,5.189106219,5.416516572,5.339132653,5.389980321,5.157996394,5.125467243,5.313121401,5.158004094,5.080462874
PHF7,5.838270138,5.600875719,6.030718244,5.849427973,5.964661172,5.783374252,5.737571997,5.923928275,5.902223177,5.536764159,5.855083943,5.65948805,5.886145744,6.034526787,6.159711628
CIDEA,6.397503222,5.246318788,10.11181649,6.116867685,7.82817117,8.744149438,5.480090649,5.67157665,5.509498451,7.196944585,9.28631548,7.176815873,6.906790832,8.255078633,8.199136029
PAPD4,7.906216659,8.267255975,7.959291172,9.206376342,8.706645519,8.518928712,7.47841307,8.410582514,7.779545174,8.385896703,8.396757445,8.177391096,7.839946683,8.09858824,8.307293266
AI082173,5.259460519,5.380068951,5.262023935,5.396576078,5.167213464,5.228937033,5.430229857,5.200576475,5.383723502,5.39707043,5.260215819,5.19308003,5.298804361,5.391016211,5.267392423
SLC17A3,5.702378742,5.521793842,5.689532915,5.439129868,5.417484229,5.629884554,5.686285786,5.770271074,5.510622355,5.594352407,5.458313094,5.431932143,5.595748156,5.619164997,5.596989074
SDS,6.930741283,6.141689382,6.529312257,6.430102004,6.684893472,5.632753205,5.866132211,7.403098353,6.88174879,6.484873411,6.114076657,7.129920487,6.585528454,5.894022503,7.0749724
ATP6V1C2,5.332862656,7.563476625,5.482155366,5.398674835,5.266673858,5.701353068,6.403135687,5.508144482,5.709038484,5.395278005,5.48268594,5.362605366,5.3172942,5.659669519,5.298500737
F3,5.275675792,5.376380962,5.463788203,5.40976102,5.490693444,5.363266331,6.341856264,5.611313684,5.906921646,6.755304038,6.36774174,5.965157114,6.31249136,6.708763457,5.535845436
FAM71C,5.443895599,5.319857154,5.254294026,5.512297723,5.363378488,5.191612314,5.208379296,5.651903428,5.452134862,5.357860345,5.466467986,5.350459681,5.539913282,5.483998717,5.456046519
AK055082,5.391824927,5.493959755,5.405767329,5.452994772,5.635477998,5.161595406,5.478668438,5.406578497,5.487828211,5.370348327,5.445721886,5.487000407,5.357100649,5.532931007,5.479219746
BU687559,5.332039454,4.974667964,5.306544607,5.409993115,5.376542796,5.146046701,5.391583662,5.397732514,5.242184996,5.485404787,5.038344927,5.224640678,5.2414469,5.377175763,5.285227212
LIN52,6.654908835,6.546138673,6.290807072,6.270448459,6.57509333,6.339673875,6.669555124,6.902267222,6.078369678,6.896183161,6.533929164,6.535445624,6.105319993,6.333736949,6.7089253
PCOTH,6.116268531,5.49612102,6.202997455,5.882994572,5.766303209,5.29764727,5.872325785,5.986409453,5.525795757,5.563798692,5.930146704,5.410935475,5.342566758,5.417471377,5.885251009
GRM1,5.502459221,5.396099665,5.166248219,5.314792547,5.303813681,5.254644512,5.165143426,5.379286284,5.267697578,5.217909335,5.294645927,5.435525326,5.587758349,5.394487779,5.547815924
FXN,6.170848396,6.462098702,5.881026718,6.059836643,6.427344801,6.192813509,6.245013046,5.994631662,6.03672688,6.123717538,6.027667269,6.075576285,6.009422619,6.041152288,5.994308537
SLC9A1,10.0142622,9.348526946,8.811784591,8.952056505,9.2940076,9.07448575,9.073483388,8.917496867,9.206066864,9.583311774,9.255845717,8.648056095,8.971369678,9.487947331,8.871050595
PML,6.223713621,5.77165837,6.532682023,6.11358686,6.218403859,6.698461223,6.213693296,6.206467648,6.938306481,6.013757154,6.287488677,6.487315859,6.222533042,6.348221658,6.63308297
