name,cytoband,symbol,gene_id,biotype
AL162426.1,9q34.11,AL162426.1,ENSG00000279363,protein_coding
nuclear receptor binding factor 2,10q21.3,NRBF2,ENSG00000148572,protein_coding
G protein-coupled receptor 143,Xp22.2,GPR143,ENSG00000101850,protein_coding
"olfactory receptor, family 6, subfamily C, member 1",12q13.2,OR6C1,ENSG00000205330,protein_coding
complexin 1,4p16.3,CPLX1,ENSG00000168993,protein_coding
dehydrogenase/reductase (SDR family) X-linked,Xp22.33,DHRSX,ENSG00000169084,protein_coding
"glutamyl-tRNA(Gln) amidotransferase, subunit C",12q24.31,GATC,ENSG00000257218,protein_coding
"bromodomain, testis-specific pseudogene 1",Xq21.33,BRDTP1,ENSG00000271209,processed_pseudogene
syntaxin 19,3q11.2,STX19,ENSG00000178750,protein_coding
CDC42 effector protein (Rho GTPase binding) 2,11q13.1,CDC42EP2,ENSG00000149798,protein_coding
CD81 molecule,11p15.5,CD81,ENSG00000110651,protein_coding
small G protein signaling modulator 2,17p13.3,SGSM2,ENSG00000141258,protein_coding
"RPTOR independent companion of MTOR, complex 2",5p13.1,RICTOR,ENSG00000164327,protein_coding
cyclin G2,4q21.1,CCNG2,ENSG00000138764,protein_coding
SCP2 sterol-binding domain containing 1,20p11.23,SCP2D1,ENSG00000132631,protein_coding
"solute carrier family 2 (facilitated glucose transporter), member 1",1p34.2,SLC2A1,ENSG00000117394,protein_coding
DEAH (Asp-Glu-Ala-His) box polypeptide 38,16q22.2,DHX38,ENSG00000140829,protein_coding
PR domain containing 13,6q16.2,PRDM13,ENSG00000112238,protein_coding
"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa",1q23.3,SDHC,ENSG00000143252,protein_coding
ganglioside induced differentiation associated protein 2,1p12,GDAP2,ENSG00000196505,protein_coding
acyl-CoA oxidase-like,2q13,ACOXL,ENSG00000153093,protein_coding
adenosine monophosphate deaminase 1,1p13.2,AMPD1,ENSG00000116748,protein_coding
WW domain containing E3 ubiquitin protein ligase 2,16q22.1,WWP2,ENSG00000198373,protein_coding
speedy/RINGO cell cycle regulator family member E2,7q22.1,SPDYE2,ENSG00000205238,protein_coding
"nuclear pore complex interacting protein family, member A3",16p13.11,NPIPA3,ENSG00000224712,protein_coding
"inhibin, beta B",2q14.2,INHBB,ENSG00000163083,protein_coding
torsin A interacting protein 1,1q25.2,TOR1AIP1,ENSG00000143337,protein_coding
"ribosomal protein, large, P0",12q24.23,RPLP0,ENSG00000089157,protein_coding
insulin-like growth factor 2 mRNA binding protein 2,3q27.2,IGF2BP2,ENSG00000073792,protein_coding
zinc finger and SCAN domain containing 4,19q13.43,ZSCAN4,ENSG00000180532,protein_coding
"coagulation factor XIII, A1 polypeptide",6p25.1,F13A1,ENSG00000124491,protein_coding
"neuroblastoma breakpoint family, member 25, pseudogene",1q21.1,NBPF25P,ENSG00000272150,transcribed_unprocessed_pseudogene
NIMA-related kinase 8,17q11.2,NEK8,ENSG00000160602,protein_coding
sestrin 2,1p35.3,SESN2,ENSG00000130766,protein_coding
DEP domain containing 1,1p31.3,DEPDC1,ENSG00000024526,protein_coding
procollagen C-endopeptidase enhancer 2,3q23,PCOLCE2,ENSG00000163710,protein_coding
FKSG51,4p16.3,FKSG51,ENSG00000280230,protein_coding
ADP-ribosylation factor-like 13B,3q11.1,ARL13B,ENSG00000169379,protein_coding
chromosome 19 open reading frame 57,19p13.12,C19orf57,ENSG00000132016,protein_coding
"UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6",1p36.33,B3GALT6,ENSG00000176022,protein_coding
matrilin 3,2p24.1,MATN3,ENSG00000132031,protein_coding
UFM1-specific peptidase 2,4q35.1,UFSP2,ENSG00000109775,protein_coding
"solute carrier family 30 (zinc transporter), member 5",5q13.1,SLC30A5,ENSG00000145740,protein_coding
"transmembrane protein 243, mitochondrial",7q21.12,TMEM243,ENSG00000135185,protein_coding
transmembrane 4 L six family member 20,2q36.3,TM4SF20,ENSG00000168955,protein_coding
supervillin,10p11.23,SVIL,ENSG00000197321,protein_coding
cell division cycle 42,1p36.12,CDC42,ENSG00000070831,protein_coding
DENN/MADD domain containing 1B,1q31.3,DENND1B,ENSG00000213047,protein_coding
T-cell leukemia translocation altered,3p21.31,TCTA,ENSG00000145022,protein_coding
"N(alpha)-acetyltransferase 30, NatC catalytic subunit",14q22.3,NAA30,ENSG00000139977,protein_coding
interleukin 12A,3q25.33,IL12A,ENSG00000168811,protein_coding
"ATP-binding cassette, sub-family G (WHITE), member 5",2p21,ABCG5,ENSG00000138075,protein_coding
coiled-coil domain containing 36,3p21.31,CCDC36,ENSG00000173421,protein_coding
"histone cluster 1, H1a",6p22.2,HIST1H1A,ENSG00000124610,protein_coding
"solute carrier family 8 (sodium/calcium exchanger), member 1",2p22.1,SLC8A1,ENSG00000183023,protein_coding
cAMP responsive element binding protein-like 2,12p13.1,CREBL2,ENSG00000111269,protein_coding
serine/arginine-rich splicing factor 5,14q24.1,SRSF5,ENSG00000100650,protein_coding
"CWF19-like 1, cell cycle control (S. pombe)",10q24.31,CWF19L1,ENSG00000095485,protein_coding
5-azacytidine induced 2,3p24.1,AZI2,ENSG00000163512,protein_coding
"SPC24, NDC80 kinetochore complex component",19p13.2,SPC24,ENSG00000161888,protein_coding
"glutamyl-tRNA(Gln) amidotransferase, subunit B",4q31.3,GATB,ENSG00000059691,protein_coding
translational activator of mitochondrially encoded cytochrome c oxidase I,17q23.3,TACO1,ENSG00000136463,protein_coding
MORN repeat containing 5,9q33.2,MORN5,ENSG00000185681,protein_coding
gamma-glutamylcyclotransferase,7p14.3,GGCT,ENSG00000006625,protein_coding
ADP-ribosylarginine hydrolase,3q13.33,ADPRH,ENSG00000144843,protein_coding
multivesicular body subunit 12B,9q33.3,MVB12B,ENSG00000196814,protein_coding
chondroadherin-like,22q13.2,CHADL,ENSG00000100399,protein_coding
zona pellucida glycoprotein 2 (sperm receptor),16p12.3,ZP2,ENSG00000103310,protein_coding
CWC27 spliceosome-associated protein homolog (S. cerevisiae),5q12.3,CWC27,ENSG00000153015,protein_coding
isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae),2p25.1,IAH1,ENSG00000134330,protein_coding
LYR motif containing 7,5q23.3,LYRM7,ENSG00000186687,protein_coding
peroxisome proliferator-activated receptor delta,6p21.31,PPARD,ENSG00000112033,protein_coding
homeobox A5,7p15.2,HOXA5,ENSG00000106004,protein_coding
zinc finger protein 514,2q11.1,ZNF514,ENSG00000144026,protein_coding
PRAME family member 17,1p36.21,PRAMEF17,ENSG00000204479,protein_coding
forkhead box G1,14q12,FOXG1,ENSG00000176165,protein_coding
"N(alpha)-acetyltransferase 20, NatB catalytic subunit",20p11.23,NAA20,ENSG00000173418,protein_coding
glycine-N-acyltransferase,11q12.1,GLYAT,ENSG00000149124,protein_coding
"interferon (alpha, beta and omega) receptor 1",21q22.11,IFNAR1,ENSG00000142166,protein_coding
DAZ associated protein 2,12q13.13,DAZAP2,ENSG00000183283,protein_coding
"DnaJ (Hsp40) homolog, subfamily B, member 7",22q13.2,DNAJB7,ENSG00000172404,protein_coding
major facilitator superfamily domain containing 3,8q24.3,MFSD3,ENSG00000167700,protein_coding
ring finger protein 217,6q22.31,RNF217,ENSG00000146373,protein_coding
"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase",4q31.3,FBXW7,ENSG00000109670,protein_coding
akirin 2,6q15,AKIRIN2,ENSG00000135334,protein_coding
phospholipid scramblase 2,3q24,PLSCR2,ENSG00000163746,protein_coding
UEV and lactate/malate dehyrogenase domains,11p15.1,UEVLD,ENSG00000151116,protein_coding
vesicle (multivesicular body) trafficking 1,6q24.1,VTA1,ENSG00000009844,protein_coding
keratin associated protein 2-2,17q21.2,KRTAP2-2,ENSG00000214518,protein_coding
neuronal PAS domain protein 2,2q11.2,NPAS2,ENSG00000170485,protein_coding
calcyclin binding protein,1q25.1,CACYBP,ENSG00000116161,protein_coding
kelch-like family member 24,3q27.1,KLHL24,ENSG00000114796,protein_coding
acyl-CoA synthetase long-chain family member 4,Xq23,ACSL4,ENSG00000068366,protein_coding
"hemoglobin, alpha 1",16p13.3,HBA1,ENSG00000206172,protein_coding
"RNA binding motif protein, X-linked-like 1",1p22.2,RBMXL1,ENSG00000213516,protein_coding
"cadherin, EGF LAG seven-pass G-type receptor 1",22q13.31,CELSR1,ENSG00000075275,protein_coding
mannose phosphate isomerase,15q24.1,MPI,ENSG00000178802,protein_coding
"calcium channel, voltage-dependent, beta 1 subunit",17q12,CACNB1,ENSG00000067191,protein_coding
SH3 domain containing ring finger 3,2q13,SH3RF3,ENSG00000172985,protein_coding
chloride channel accessory 4,1p22.3,CLCA4,ENSG00000016602,protein_coding
N-acetylneuraminic acid phosphatase,20p11.21,NANP,ENSG00000170191,protein_coding
"fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)",19q13.33,FUT1,ENSG00000174951,protein_coding
sideroflexin 1,5q35.2,SFXN1,ENSG00000164466,protein_coding
kelch-like family member 7,7p15.3,KLHL7,ENSG00000122550,protein_coding
protocadherin 19,Xq22.1,PCDH19,ENSG00000165194,protein_coding
"tumor necrosis factor (ligand) superfamily, member 13b",13q33.3,TNFSF13B,ENSG00000102524,protein_coding
"thrombospondin, type I, domain containing 7A",7p21.3,THSD7A,ENSG00000005108,protein_coding
"ribonuclease, RNase A family, 1 (pancreatic)",14q11.2,RNASE1,ENSG00000129538,protein_coding
"zinc finger, ZZ-type with EF-hand domain 1",17p13.2,ZZEF1,ENSG00000074755,protein_coding
"inositol polyphosphate-5-phosphatase, 75kDa",1p34.3,INPP5B,ENSG00000204084,protein_coding
BAH domain and coiled-coil containing 1,17q25.3,BAHCC1,ENSG00000266074,protein_coding
2-oxoglutarate and iron-dependent oxygenase domain containing 3,17q25.3,OGFOD3,ENSG00000181396,protein_coding
"dynein, light chain, LC8-type 2",17q22,DYNLL2,ENSG00000264364,protein_coding
tripartite motif-containing 51,11q12.1,TRIM51,ENSG00000124900,protein_coding
arachidonate 15-lipoxygenase,17p13.2,ALOX15,ENSG00000161905,protein_coding
unc-119 homolog B (C. elegans),12q24.31,UNC119B,ENSG00000175970,protein_coding
cell division cycle 73,1q31.2,CDC73,ENSG00000134371,protein_coding
"dynein, axonemal, assembly factor 5",7p22.3,DNAAF5,ENSG00000164818,protein_coding
proprotein convertase subtilisin/kexin type 2,20p12.1,PCSK2,ENSG00000125851,protein_coding
"ATP-binding cassette, sub-family A (ABC1), member 8",17q24.2,ABCA8,ENSG00000141338,protein_coding
golgi SNAP receptor complex member 1,17q11.2,GOSR1,ENSG00000108587,protein_coding
KIAA0195,17q25.1,KIAA0195,ENSG00000177728,protein_coding
"phospholipase C, beta 2",15q15.1,PLCB2,ENSG00000137841,protein_coding
chimerin 1,2q31.1,CHN1,ENSG00000128656,protein_coding
mitochondrial ribosomal protein L20,1p36.33,MRPL20,ENSG00000242485,protein_coding
gasdermin C,8q24.21,GSDMC,ENSG00000147697,protein_coding
"alkB, alkylation repair homolog 2 (E. coli)",12q24.11,ALKBH2,ENSG00000189046,protein_coding
chromosome 7 open reading frame 66,7q31.1,C7orf66,ENSG00000205174,lincRNA
glycerol kinase 2,4q21.21,GK2,ENSG00000196475,protein_coding
"butyrophilin, subfamily 1, member A1",6p22.2,BTN1A1,ENSG00000124557,protein_coding
"phospholipase D1, phosphatidylcholine-specific",3q26.31,PLD1,ENSG00000075651,protein_coding
"ATPase, aminophospholipid transporter, class I, type 8B, member 1",18q21.31,ATP8B1,ENSG00000081923,protein_coding
coiled-coil domain containing 127,5p15.33,CCDC127,ENSG00000164366,protein_coding
kinesin family member 21B,1q32.1,KIF21B,ENSG00000116852,protein_coding
interleukin 21 receptor,16p12.1,IL21R,ENSG00000103522,protein_coding
fms-related tyrosine kinase 3,13q12.2,FLT3,ENSG00000122025,protein_coding
lipopolysaccharide binding protein,20q11.23,LBP,ENSG00000129988,protein_coding
BMP binding endothelial regulator,7p14.3,BMPER,ENSG00000164619,protein_coding
sorting nexin 32,11q13.1,SNX32,ENSG00000172803,protein_coding
desmocollin 1,18q12.1,DSC1,ENSG00000134765,protein_coding
neuronal pentraxin II,7q22.1,NPTX2,ENSG00000106236,protein_coding
small nuclear ribonucleoprotein 48kDa (U11/U12),6p24.3,SNRNP48,ENSG00000168566,protein_coding
