name,cytoband,gene_id,symbol,biotype
RP11-411K7.1,6p12.1,ENSG00000236740,RP11-411K7.1,lincRNA
AL162426.1,9q34.11,ENSG00000279363,AL162426.1,protein_coding
nuclear receptor binding factor 2,10q21.3,ENSG00000148572,NRBF2,protein_coding
G protein-coupled receptor 143,Xp22.2,ENSG00000101850,GPR143,protein_coding
"olfactory receptor, family 6, subfamily C, member 1",12q13.2,ENSG00000205330,OR6C1,protein_coding
complexin 1,4p16.3,ENSG00000168993,CPLX1,protein_coding
dehydrogenase/reductase (SDR family) X-linked,Xp22.33,ENSG00000169084,DHRSX,protein_coding
"glutamyl-tRNA(Gln) amidotransferase, subunit C",12q24.31,ENSG00000257218,GATC,protein_coding
"bromodomain, testis-specific pseudogene 1",Xq21.33,ENSG00000271209,BRDTP1,processed_pseudogene
syntaxin 19,3q11.2,ENSG00000178750,STX19,protein_coding
CDC42 effector protein (Rho GTPase binding) 2,11q13.1,ENSG00000149798,CDC42EP2,protein_coding
CD81 molecule,11p15.5,ENSG00000110651,CD81,protein_coding
small G protein signaling modulator 2,17p13.3,ENSG00000141258,SGSM2,protein_coding
"RPTOR independent companion of MTOR, complex 2",5p13.1,ENSG00000164327,RICTOR,protein_coding
cyclin G2,4q21.1,ENSG00000138764,CCNG2,protein_coding
AC062028.1,2p25.1,ENSG00000145063,AC062028.1,lincRNA
SCP2 sterol-binding domain containing 1,20p11.23,ENSG00000132631,SCP2D1,protein_coding
immunoglobulin lambda variable 1-47,22q11.22,ENSG00000211648,IGLV1-47,IG_V_gene
"solute carrier family 2 (facilitated glucose transporter), member 1",1p34.2,ENSG00000117394,SLC2A1,protein_coding
DEAH (Asp-Glu-Ala-His) box polypeptide 38,16q22.2,ENSG00000140829,DHX38,protein_coding
PR domain containing 13,6q16.2,ENSG00000112238,PRDM13,protein_coding
"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa",1q23.3,ENSG00000143252,SDHC,protein_coding
ganglioside induced differentiation associated protein 2,1p12,ENSG00000196505,GDAP2,protein_coding
acyl-CoA oxidase-like,2q13,ENSG00000153093,ACOXL,protein_coding
adenosine monophosphate deaminase 1,1p13.2,ENSG00000116748,AMPD1,protein_coding
WW domain containing E3 ubiquitin protein ligase 2,16q22.1,ENSG00000198373,WWP2,protein_coding
speedy/RINGO cell cycle regulator family member E2,7q22.1,ENSG00000205238,SPDYE2,protein_coding
"nuclear pore complex interacting protein family, member A3",16p13.11,ENSG00000224712,NPIPA3,protein_coding
"inhibin, beta B",2q14.2,ENSG00000163083,INHBB,protein_coding
torsin A interacting protein 1,1q25.2,ENSG00000143337,TOR1AIP1,protein_coding
"ribosomal protein, large, P0",12q24.23,ENSG00000089157,RPLP0,protein_coding
insulin-like growth factor 2 mRNA binding protein 2,3q27.2,ENSG00000073792,IGF2BP2,protein_coding
zinc finger and SCAN domain containing 4,19q13.43,ENSG00000180532,ZSCAN4,protein_coding
"coagulation factor XIII, A1 polypeptide",6p25.1,ENSG00000124491,F13A1,protein_coding
"neuroblastoma breakpoint family, member 25, pseudogene",1q21.1,ENSG00000272150,NBPF25P,transcribed_unprocessed_pseudogene
NIMA-related kinase 8,17q11.2,ENSG00000160602,NEK8,protein_coding
sestrin 2,1p35.3,ENSG00000130766,SESN2,protein_coding
DEP domain containing 1,1p31.3,ENSG00000024526,DEPDC1,protein_coding
procollagen C-endopeptidase enhancer 2,3q23,ENSG00000163710,PCOLCE2,protein_coding
FKSG51,4p16.3,ENSG00000280230,FKSG51,protein_coding
ADP-ribosylation factor-like 13B,3q11.1,ENSG00000169379,ARL13B,protein_coding
chromosome 19 open reading frame 57,19p13.12,ENSG00000132016,C19orf57,protein_coding
"UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6",1p36.33,ENSG00000176022,B3GALT6,protein_coding
matrilin 3,2p24.1,ENSG00000132031,MATN3,protein_coding
UFM1-specific peptidase 2,4q35.1,ENSG00000109775,UFSP2,protein_coding
"solute carrier family 30 (zinc transporter), member 5",5q13.1,ENSG00000145740,SLC30A5,protein_coding
"transmembrane protein 243, mitochondrial",7q21.12,ENSG00000135185,TMEM243,protein_coding
transmembrane 4 L six family member 20,2q36.3,ENSG00000168955,TM4SF20,protein_coding
supervillin,10p11.23,ENSG00000197321,SVIL,protein_coding
cell division cycle 42,1p36.12,ENSG00000070831,CDC42,protein_coding
DENN/MADD domain containing 1B,1q31.3,ENSG00000213047,DENND1B,protein_coding
T-cell leukemia translocation altered,3p21.31,ENSG00000145022,TCTA,protein_coding
"N(alpha)-acetyltransferase 30, NatC catalytic subunit",14q22.3,ENSG00000139977,NAA30,protein_coding
interleukin 12A,3q25.33,ENSG00000168811,IL12A,protein_coding
"ATP-binding cassette, sub-family G (WHITE), member 5",2p21,ENSG00000138075,ABCG5,protein_coding
long intergenic non-protein coding RNA 636,3q13.12,ENSG00000240423,LINC00636,lincRNA
coiled-coil domain containing 36,3p21.31,ENSG00000173421,CCDC36,protein_coding
"histone cluster 1, H1a",6p22.2,ENSG00000124610,HIST1H1A,protein_coding
"solute carrier family 8 (sodium/calcium exchanger), member 1",2p22.1,ENSG00000183023,SLC8A1,protein_coding
cAMP responsive element binding protein-like 2,12p13.1,ENSG00000111269,CREBL2,protein_coding
serine/arginine-rich splicing factor 5,14q24.1,ENSG00000100650,SRSF5,protein_coding
"CWF19-like 1, cell cycle control (S. pombe)",10q24.31,ENSG00000095485,CWF19L1,protein_coding
5-azacytidine induced 2,3p24.1,ENSG00000163512,AZI2,protein_coding
"SPC24, NDC80 kinetochore complex component",19p13.2,ENSG00000161888,SPC24,protein_coding
"glutamyl-tRNA(Gln) amidotransferase, subunit B",4q31.3,ENSG00000059691,GATB,protein_coding
translational activator of mitochondrially encoded cytochrome c oxidase I,17q23.3,ENSG00000136463,TACO1,protein_coding
MORN repeat containing 5,9q33.2,ENSG00000185681,MORN5,protein_coding
gamma-glutamylcyclotransferase,7p14.3,ENSG00000006625,GGCT,protein_coding
ADP-ribosylarginine hydrolase,3q13.33,ENSG00000144843,ADPRH,protein_coding
multivesicular body subunit 12B,9q33.3,ENSG00000196814,MVB12B,protein_coding
chondroadherin-like,22q13.2,ENSG00000100399,CHADL,protein_coding
zona pellucida glycoprotein 2 (sperm receptor),16p12.3,ENSG00000103310,ZP2,protein_coding
CWC27 spliceosome-associated protein homolog (S. cerevisiae),5q12.3,ENSG00000153015,CWC27,protein_coding
isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae),2p25.1,ENSG00000134330,IAH1,protein_coding
LYR motif containing 7,5q23.3,ENSG00000186687,LYRM7,protein_coding
peroxisome proliferator-activated receptor delta,6p21.31,ENSG00000112033,PPARD,protein_coding
homeobox A5,7p15.2,ENSG00000106004,HOXA5,protein_coding
zinc finger protein 514,2q11.1,ENSG00000144026,ZNF514,protein_coding
PRAME family member 17,1p36.21,ENSG00000204479,PRAMEF17,protein_coding
forkhead box G1,14q12,ENSG00000176165,FOXG1,protein_coding
"N(alpha)-acetyltransferase 20, NatB catalytic subunit",20p11.23,ENSG00000173418,NAA20,protein_coding
glycine-N-acyltransferase,11q12.1,ENSG00000149124,GLYAT,protein_coding
"interferon (alpha, beta and omega) receptor 1",21q22.11,ENSG00000142166,IFNAR1,protein_coding
DAZ associated protein 2,12q13.13,ENSG00000183283,DAZAP2,protein_coding
"DnaJ (Hsp40) homolog, subfamily B, member 7",22q13.2,ENSG00000172404,DNAJB7,protein_coding
major facilitator superfamily domain containing 3,8q24.3,ENSG00000167700,MFSD3,protein_coding
ring finger protein 217,6q22.31,ENSG00000146373,RNF217,protein_coding
"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase",4q31.3,ENSG00000109670,FBXW7,protein_coding
akirin 2,6q15,ENSG00000135334,AKIRIN2,protein_coding
phospholipid scramblase 2,3q24,ENSG00000163746,PLSCR2,protein_coding
UEV and lactate/malate dehyrogenase domains,11p15.1,ENSG00000151116,UEVLD,protein_coding
vesicle (multivesicular body) trafficking 1,6q24.1,ENSG00000009844,VTA1,protein_coding
keratin associated protein 2-2,17q21.2,ENSG00000214518,KRTAP2-2,protein_coding
neuronal PAS domain protein 2,2q11.2,ENSG00000170485,NPAS2,protein_coding
calcyclin binding protein,1q25.1,ENSG00000116161,CACYBP,protein_coding
kelch-like family member 24,3q27.1,ENSG00000114796,KLHL24,protein_coding
acyl-CoA synthetase long-chain family member 4,Xq23,ENSG00000068366,ACSL4,protein_coding
long intergenic non-protein coding RNA 1101,2q14.2,ENSG00000280409,LINC01101,TEC
"hemoglobin, alpha 1",16p13.3,ENSG00000206172,HBA1,protein_coding
"RNA binding motif protein, X-linked-like 1",1p22.2,ENSG00000213516,RBMXL1,protein_coding
"cadherin, EGF LAG seven-pass G-type receptor 1",22q13.31,ENSG00000075275,CELSR1,protein_coding
mannose phosphate isomerase,15q24.1,ENSG00000178802,MPI,protein_coding
"calcium channel, voltage-dependent, beta 1 subunit",17q12,ENSG00000067191,CACNB1,protein_coding
