biotype,symbol,cytoband/0,name,gene_id,is_cancer_gene_census,cytoband/1,cytoband/2
TEC,RP13-16D10.1,Xq25,RP13-16D10.1,ENSG00000280142,,,
lincRNA,RP11-411K7.1,6p12.1,RP11-411K7.1,ENSG00000236740,,,
protein_coding,AL162426.1,9q34.11,AL162426.1,ENSG00000279363,,,
protein_coding,NRBF2,10q21.3,nuclear receptor binding factor 2,ENSG00000148572,,,
protein_coding,GPR143,Xp22.2,G protein-coupled receptor 143,ENSG00000101850,,,
protein_coding,OR6C1,12q13.2,"olfactory receptor, family 6, subfamily C, member 1",ENSG00000205330,,,
transcribed_unprocessed_pseudogene,DNM1P51,15q25.2,DNM1P51,ENSG00000235370,,,
protein_coding,CPLX1,4p16.3,complexin 1,ENSG00000168993,,,
protein_coding,DHRSX,Xp22.33,dehydrogenase/reductase (SDR family) X-linked,ENSG00000169084,,,
protein_coding,GATC,12q24.31,"glutamyl-tRNA(Gln) amidotransferase, subunit C",ENSG00000257218,,,
processed_pseudogene,BRDTP1,Xq21.33,"bromodomain, testis-specific pseudogene 1",ENSG00000271209,,,
protein_coding,STX19,3q11.2,syntaxin 19,ENSG00000178750,,,
protein_coding,CDC42EP2,11q13.1,CDC42 effector protein (Rho GTPase binding) 2,ENSG00000149798,,,
protein_coding,CD81,11p15.5,CD81 molecule,ENSG00000110651,,,
protein_coding,SGSM2,17p13.3,small G protein signaling modulator 2,ENSG00000141258,,,
protein_coding,RICTOR,5p13.1,"RPTOR independent companion of MTOR, complex 2",ENSG00000164327,,,
protein_coding,CCNG2,4q21.1,cyclin G2,ENSG00000138764,,,
lincRNA,AC062028.1,2p25.1,AC062028.1,ENSG00000145063,,,
protein_coding,SCP2D1,20p11.23,SCP2 sterol-binding domain containing 1,ENSG00000132631,,,
IG_V_gene,IGLV1-47,22q11.22,immunoglobulin lambda variable 1-47,ENSG00000211648,,,
protein_coding,SLC2A1,1p34.2,"solute carrier family 2 (facilitated glucose transporter), member 1",ENSG00000117394,,,
protein_coding,DHX38,16q22.2,DEAH (Asp-Glu-Ala-His) box polypeptide 38,ENSG00000140829,,,
protein_coding,PRDM13,6q16.2,PR domain containing 13,ENSG00000112238,,,
protein_coding,SDHC,1q23.3,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa",ENSG00000143252,true,,
protein_coding,GDAP2,1p12,ganglioside induced differentiation associated protein 2,ENSG00000196505,,,
protein_coding,ACOXL,2q13,acyl-CoA oxidase-like,ENSG00000153093,,,
protein_coding,AMPD1,1p13.2,adenosine monophosphate deaminase 1,ENSG00000116748,,,
protein_coding,WWP2,16q22.1,WW domain containing E3 ubiquitin protein ligase 2,ENSG00000198373,,,
lincRNA,RP5-1086K13.1,1p13.1,RP5-1086K13.1,ENSG00000224950,,,
IG_V_gene,IGKV2D-40,2p11.2,immunoglobulin kappa variable 2D-40,ENSG00000251039,,,
protein_coding,SPDYE2,7q22.1,speedy/RINGO cell cycle regulator family member E2,ENSG00000205238,,,
protein_coding,NPIPA3,16p13.11,"nuclear pore complex interacting protein family, member A3",ENSG00000224712,,,
protein_coding,INHBB,2q14.2,"inhibin, beta B",ENSG00000163083,,,
protein_coding,TOR1AIP1,1q25.2,torsin A interacting protein 1,ENSG00000143337,,,
protein_coding,RPLP0,12q24.23,"ribosomal protein, large, P0",ENSG00000089157,,,
protein_coding,IGF2BP2,3q27.2,insulin-like growth factor 2 mRNA binding protein 2,ENSG00000073792,,,
protein_coding,ZSCAN4,19q13.43,zinc finger and SCAN domain containing 4,ENSG00000180532,,,
protein_coding,F13A1,6p25.1,"coagulation factor XIII, A1 polypeptide",ENSG00000124491,,,
transcribed_unprocessed_pseudogene,NBPF25P,1q21.1,"neuroblastoma breakpoint family, member 25, pseudogene",ENSG00000272150,,,
protein_coding,NEK8,17q11.2,NIMA-related kinase 8,ENSG00000160602,,,
protein_coding,SESN2,1p35.3,sestrin 2,ENSG00000130766,,,
protein_coding,DEPDC1,1p31.3,DEP domain containing 1,ENSG00000024526,,,
protein_coding,PCOLCE2,3q23,procollagen C-endopeptidase enhancer 2,ENSG00000163710,,,
protein_coding,FKSG51,4p16.3,FKSG51,ENSG00000280230,,,
protein_coding,ARL13B,3q11.1,ADP-ribosylation factor-like 13B,ENSG00000169379,,3q11.2,
protein_coding,C19orf57,19p13.12,chromosome 19 open reading frame 57,ENSG00000132016,,,
protein_coding,B3GALT6,1p36.33,"UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6",ENSG00000176022,,,
